date,sku_id,location_id,on_hand_quantity,inventory_value,on_order_quantity,reserved_quantity,lead_time_days,supplier_id,category,data_source,description
2011-12-09,15044B,SIM-DC-01,2,5.97,0,0,14,SIM-SUP-09,UNMAPPED,synthetic_demo,BLUE PAPER PARASOL
2011-12-09,15044C,SIM-DC-01,7,14.06,1,0,10,SIM-SUP-09,UNMAPPED,synthetic_demo,PURPLE PAPER PARASOL
2011-12-09,15044D,SIM-DC-01,8,191.99,0,0,7,SIM-SUP-04,UNMAPPED,synthetic_demo,RED PAPER PARASOL
2011-12-09,15056BL,SIM-DC-01,23,531.17,2,2,3,SIM-SUP-05,UNMAPPED,synthetic_demo,EDWARDIAN PARASOL BLACK
2011-12-09,15056N,SIM-DC-01,19,107.15,0,2,7,SIM-SUP-11,UNMAPPED,synthetic_demo,EDWARDIAN PARASOL NATURAL
2011-12-09,15056P,SIM-DC-01,7,138.52,0,1,5,SIM-SUP-06,UNMAPPED,synthetic_demo,EDWARDIAN PARASOL PINK
2011-12-09,15058A,SIM-DC-01,4,39.23,1,0,10,SIM-SUP-05,UNMAPPED,synthetic_demo,BLUE POLKADOT GARDEN PARASOL
2011-12-09,15058B,SIM-DC-01,0,0.00,0,0,3,SIM-SUP-03,UNMAPPED,synthetic_demo,PINK POLKADOT GARDEN PARASOL
2011-12-09,15058C,SIM-DC-01,4,46.52,1,0,14,SIM-SUP-08,UNMAPPED,synthetic_demo,ICE CREAM DESIGN GARDEN PARASOL
2011-12-09,15060B,SIM-DC-01,1,24.57,0,0,5,SIM-SUP-11,UNMAPPED,synthetic_demo,FAIRY CAKE DESIGN UMBRELLA
2011-12-09,16008,SIM-DC-01,65,993.94,0,7,7,SIM-SUP-08,UNMAPPED,synthetic_demo,SMALL FOLDING SCISSOR(POINTED EDGE)
2011-12-09,16011,SIM-DC-01,43,720.59,5,6,7,SIM-SUP-11,UNMAPPED,synthetic_demo,ANIMAL STICKERS
2011-12-09,16012,SIM-DC-01,18,57.31,5,0,14,SIM-SUP-11,UNMAPPED,synthetic_demo,FOOD/DRINK SPONGE STICKERS
2011-12-09,16014,SIM-DC-01,10,107.20,0,0,5,SIM-SUP-10,UNMAPPED,synthetic_demo,SMALL CHINESE STYLE SCISSOR
2011-12-09,16015,SIM-DC-01,1,14.15,0,0,5,SIM-SUP-05,UNMAPPED,synthetic_demo,MEDIUM CHINESE STYLE SCISSOR
2011-12-09,16016,SIM-DC-01,10,20.13,0,1,3,SIM-SUP-04,UNMAPPED,synthetic_demo,LARGE CHINESE STYLE SCISSOR
2011-12-09,16020C,SIM-DC-01,1,12.24,0,0,3,SIM-SUP-06,UNMAPPED,synthetic_demo,CLEAR STATIONERY BOX SET
2011-12-09,16033,SIM-DC-01,0,0.00,0,0,7,SIM-SUP-04,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,16045,SIM-DC-01,86,844.33,24,13,14,SIM-SUP-07,UNMAPPED,synthetic_demo,POPART WOODEN PENCILS ASST
2011-12-09,16046,SIM-DC-01,3,19.77,0,0,14,SIM-SUP-01,UNMAPPED,synthetic_demo,TEATIME PEN CASE & PENS
2011-12-09,16048,SIM-DC-01,21,100.19,0,2,10,SIM-SUP-04,UNMAPPED,synthetic_demo,TEATIME ROUND PENCIL SHARPENER
2011-12-09,16052,SIM-DC-01,1,17.22,0,0,5,SIM-SUP-01,UNMAPPED,synthetic_demo,TEATIME PUSH DOWN RUBBER
2011-12-09,16156L,SIM-DC-01,3,74.63,0,0,3,SIM-SUP-08,UNMAPPED,synthetic_demo,WRAP CAROUSEL
2011-12-09,16156N,SIM-DC-01,1,12.60,0,0,5,SIM-SUP-04,UNMAPPED,synthetic_demo,"WRAP, FRIENDSHIP ON GREEN"
2011-12-09,16156S,SIM-DC-01,29,414.31,25,1,10,SIM-SUP-05,UNMAPPED,synthetic_demo,WRAP PINK FAIRY CAKES
2011-12-09,16161G,SIM-DC-01,3,68.39,1,0,3,SIM-SUP-09,UNMAPPED,synthetic_demo,WRAP BAD HAIR DAY
2011-12-09,16161M,SIM-DC-01,0,0.00,0,0,3,SIM-SUP-06,UNMAPPED,synthetic_demo,WRAP PINK FLOCK
2011-12-09,16161P,SIM-DC-01,19,420.80,7,3,5,SIM-SUP-04,UNMAPPED,synthetic_demo,WRAP ENGLISH ROSE
2011-12-09,16161U,SIM-DC-01,41,249.37,0,5,7,SIM-SUP-04,UNMAPPED,synthetic_demo,WRAP SUKI AND FRIENDS
2011-12-09,16168M,SIM-DC-01,8,36.31,0,1,14,SIM-SUP-01,UNMAPPED,synthetic_demo,FUNKY MONKEY GIFT BAG MEDIUM
2011-12-09,16169C,SIM-DC-01,2,13.18,0,0,7,SIM-SUP-09,UNMAPPED,synthetic_demo,WRAP BLUE REINDEER
2011-12-09,16169E,SIM-DC-01,216,992.40,0,13,5,SIM-SUP-10,UNMAPPED,synthetic_demo,WRAP 50'S CHRISTMAS
2011-12-09,16169K,SIM-DC-01,1,14.50,0,0,3,SIM-SUP-09,UNMAPPED,synthetic_demo,WRAP FOLK ART
2011-12-09,16169M,SIM-DC-01,14,345.51,0,1,14,SIM-SUP-08,UNMAPPED,synthetic_demo,WRAP DAISY CARPET
2011-12-09,16169N,SIM-DC-01,1,22.74,0,0,3,SIM-SUP-02,UNMAPPED,synthetic_demo,WRAP BLUE RUSSIAN FOLKART
2011-12-09,16169P,SIM-DC-01,1,17.32,0,0,5,SIM-SUP-06,UNMAPPED,synthetic_demo,WRAP GREEN RUSSIAN FOLKART
2011-12-09,16207A,SIM-DC-01,1,19.93,0,0,3,SIM-SUP-11,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,16207B,SIM-DC-01,0,0.00,0,0,7,SIM-SUP-02,UNMAPPED,synthetic_demo,PINK HEART RED HANDBAG
2011-12-09,16212,SIM-DC-01,1,11.80,0,0,7,SIM-SUP-03,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,16216,SIM-DC-01,14,334.68,0,1,3,SIM-SUP-12,UNMAPPED,synthetic_demo,LETTER SHAPE PENCIL SHARPENER
2011-12-09,16218,SIM-DC-01,21,187.36,0,2,10,SIM-SUP-04,UNMAPPED,synthetic_demo,CARTOON PENCIL SHARPENERS
2011-12-09,16219,SIM-DC-01,29,399.34,0,1,7,SIM-SUP-01,UNMAPPED,synthetic_demo,HOUSE SHAPE PENCIL SHARPENER
2011-12-09,16225,SIM-DC-01,10,174.83,2,0,5,SIM-SUP-05,UNMAPPED,synthetic_demo,RATTLE SNAKE EGGS
2011-12-09,16235,SIM-DC-01,32,659.84,8,1,3,SIM-SUP-03,UNMAPPED,synthetic_demo,RECYCLED PENCIL WITH RABBIT ERASER
2011-12-09,16236,SIM-DC-01,18,237.95,0,1,3,SIM-SUP-04,UNMAPPED,synthetic_demo,KITTY PENCIL ERASERS
2011-12-09,16237,SIM-DC-01,50,1197.66,19,2,3,SIM-SUP-04,UNMAPPED,synthetic_demo,SLEEPING CAT ERASERS
2011-12-09,16238,SIM-DC-01,65,736.76,0,5,14,SIM-SUP-08,UNMAPPED,synthetic_demo,PARTY TIME PENCIL ERASERS
2011-12-09,16256B,SIM-DC-01,2,28.72,0,0,14,SIM-SUP-11,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,16258A,SIM-DC-01,8,107.08,0,0,3,SIM-SUP-12,UNMAPPED,synthetic_demo,SWIRLY CIRCULAR RUBBERS IN BAG
2011-12-09,16259,SIM-DC-01,3,11.34,0,0,10,SIM-SUP-02,UNMAPPED,synthetic_demo,PIECE OF CAMO STATIONERY SET
2011-12-09,17003,SIM-DC-01,255,6087.77,0,20,14,SIM-SUP-07,UNMAPPED,synthetic_demo,BROCADE RING PURSE
2011-12-09,17012A,SIM-DC-01,2,16.20,0,0,10,SIM-SUP-05,UNMAPPED,synthetic_demo,ORIGAMI VANILLA INCENSE/CANDLE SET
2011-12-09,17012B,SIM-DC-01,1,20.75,0,0,7,SIM-SUP-11,UNMAPPED,synthetic_demo,ORIGAMI JASMINE INCENSE/CANDLE SET
2011-12-09,17012C,SIM-DC-01,21,241.25,0,0,10,SIM-SUP-03,UNMAPPED,synthetic_demo,ORIGAMI LAVENDER INCENSE/CANDL SET
2011-12-09,17012D,SIM-DC-01,39,192.74,0,1,14,SIM-SUP-01,UNMAPPED,synthetic_demo,ORIGAMI ROSE INCENSE/CANDLE SET
2011-12-09,17012F,SIM-DC-01,24,95.16,13,0,7,SIM-SUP-01,UNMAPPED,synthetic_demo,ORIGAMI SANDLEWOOD INCENSE/CAND SET
2011-12-09,17013D,SIM-DC-01,1,11.64,0,0,5,SIM-SUP-07,UNMAPPED,synthetic_demo,ORIGAMI ROSE INCENSE IN TUBE
2011-12-09,17021,SIM-DC-01,3,12.53,4,0,14,SIM-SUP-07,UNMAPPED,synthetic_demo,NAMASTE SWAGAT INCENSE
2011-12-09,17033,SIM-DC-01,1,9.44,0,0,5,SIM-SUP-01,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,17038,SIM-DC-01,9,69.71,0,0,14,SIM-SUP-05,UNMAPPED,synthetic_demo,PORCELAIN BUDAH INCENSE HOLDER
2011-12-09,17039,SIM-DC-01,2,27.56,0,0,10,SIM-SUP-10,UNMAPPED,synthetic_demo,INLAID WOOD INCENSE HOLDER
2011-12-09,17084N,SIM-DC-01,10,133.83,1,1,10,SIM-SUP-03,UNMAPPED,synthetic_demo,FAIRY DREAMS INCENSE
2011-12-09,17084P,SIM-DC-01,6,70.66,0,1,14,SIM-SUP-09,UNMAPPED,synthetic_demo,DRAGONS BLOOD INCENSE
2011-12-09,17084R,SIM-DC-01,1,24.86,0,0,7,SIM-SUP-01,UNMAPPED,synthetic_demo,ASSORTED INCENSE PACK
2011-12-09,17091A,SIM-DC-01,0,0.00,1,0,14,SIM-SUP-10,UNMAPPED,synthetic_demo,LAVENDER INCENSE IN TIN
2011-12-09,17091B,SIM-DC-01,1,20.62,0,0,10,SIM-SUP-09,UNMAPPED,synthetic_demo,JASMINE TEA INCENSE IN TIN
2011-12-09,17091J,SIM-DC-01,24,84.87,14,1,10,SIM-SUP-05,UNMAPPED,synthetic_demo,VANILLA INCENSE IN TIN
2011-12-09,17096,SIM-DC-01,4,30.54,0,1,14,SIM-SUP-12,UNMAPPED,synthetic_demo,ASSORTED LAQUERED INCENSE HOLDERS
2011-12-09,17107D,SIM-DC-01,9,86.96,0,1,14,SIM-SUP-06,UNMAPPED,synthetic_demo,FLOWER FAIRY 5 DRAWER LINERS
2011-12-09,17109D,SIM-DC-01,1,21.14,0,0,3,SIM-SUP-06,UNMAPPED,synthetic_demo,Adjustment
2011-12-09,17129D,SIM-DC-01,2,47.55,0,0,10,SIM-SUP-03,UNMAPPED,synthetic_demo,CLEAR COLOUR GLASS GEMS IN BAG
2011-12-09,17129F,SIM-DC-01,2,26.09,0,0,7,SIM-SUP-02,UNMAPPED,synthetic_demo,BLUE GLASS GEMS IN BAG
2011-12-09,17136A,SIM-DC-01,3,25.29,1,0,10,SIM-SUP-06,UNMAPPED,synthetic_demo,check
2011-12-09,17164B,SIM-DC-01,0,0.00,0,0,5,SIM-SUP-04,UNMAPPED,synthetic_demo,ASS COL SMALL SAND GECKO P'WEIGHT
2011-12-09,17165B,SIM-DC-01,2,22.45,0,0,10,SIM-SUP-07,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,17165D,SIM-DC-01,1,9.37,0,0,10,SIM-SUP-04,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,17181,SIM-DC-01,3,56.65,0,0,10,SIM-SUP-12,UNMAPPED,synthetic_demo,CIRCLE OF FRIENDS CANDLE HOLDER
2011-12-09,18007,SIM-DC-01,2,23.77,0,0,7,SIM-SUP-07,UNMAPPED,synthetic_demo,ESSENTIAL BALM 3.5g TIN IN ENVELOPE
2011-12-09,18094C,SIM-DC-01,2,37.48,0,0,7,SIM-SUP-04,UNMAPPED,synthetic_demo,WHITE AND BLUE CERAMIC OIL BURNER
2011-12-09,18097C,SIM-DC-01,4,33.30,0,0,10,SIM-SUP-01,UNMAPPED,synthetic_demo,WHITE TALL PORCELAIN T-LIGHT HOLDER
2011-12-09,18098C,SIM-DC-01,2,39.28,0,0,10,SIM-SUP-12,UNMAPPED,synthetic_demo,PORCELAIN BUTTERFLY OIL BURNER
2011-12-09,20615,SIM-DC-01,8,186.01,0,0,5,SIM-SUP-03,UNMAPPED,synthetic_demo,BLUE POLKADOT PASSPORT COVER
2011-12-09,20616,SIM-DC-01,3,8.66,0,0,3,SIM-SUP-06,UNMAPPED,synthetic_demo,CHERRY BLOSSOM PASSPORT COVER
2011-12-09,20617,SIM-DC-01,3,13.99,0,0,5,SIM-SUP-02,UNMAPPED,synthetic_demo,FIRST CLASS PASSPORT COVER
2011-12-09,20618,SIM-DC-01,3,15.12,1,0,10,SIM-SUP-06,UNMAPPED,synthetic_demo,QUEEN OF THE SKIES PASSPORT COVER
2011-12-09,20619,SIM-DC-01,5,43.71,0,0,7,SIM-SUP-04,UNMAPPED,synthetic_demo,TROPICAL PASSPORT COVER
2011-12-09,20621,SIM-DC-01,1,6.38,0,0,7,SIM-SUP-07,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,20622,SIM-DC-01,6,103.52,0,1,14,SIM-SUP-11,UNMAPPED,synthetic_demo,VIP PASSPORT COVER
2011-12-09,20652,SIM-DC-01,9,58.68,0,1,10,SIM-SUP-06,UNMAPPED,synthetic_demo,BLUE POLKADOT LUGGAGE TAG
2011-12-09,20653,SIM-DC-01,8,125.00,1,0,10,SIM-SUP-05,UNMAPPED,synthetic_demo,CHERRY BLOSSOM LUGGAGE TAG
2011-12-09,20654,SIM-DC-01,6,16.76,0,0,10,SIM-SUP-03,UNMAPPED,synthetic_demo,FIRST CLASS LUGGAGE TAG
2011-12-09,20655,SIM-DC-01,2,29.42,0,0,3,SIM-SUP-06,UNMAPPED,synthetic_demo,QUEEN OF SKIES LUGGAGE TAG
2011-12-09,20657,SIM-DC-01,2,22.16,0,0,5,SIM-SUP-08,UNMAPPED,synthetic_demo,TROPICAL LUGGAGE TAG
2011-12-09,20658,SIM-DC-01,1,15.24,0,0,3,SIM-SUP-09,UNMAPPED,synthetic_demo,RED RETROSPOT LUGGAGE TAG
2011-12-09,20659,SIM-DC-01,1,18.55,0,0,7,SIM-SUP-01,UNMAPPED,synthetic_demo,ECONOMY LUGGAGE TAG
2011-12-09,20661,SIM-DC-01,2,30.91,0,0,10,SIM-SUP-07,UNMAPPED,synthetic_demo,BLUE POLKADOT PURSE
2011-12-09,20662,SIM-DC-01,1,22.65,0,0,3,SIM-SUP-11,UNMAPPED,synthetic_demo,FIRST CLASS HOLIDAY PURSE
2011-12-09,20663,SIM-DC-01,1,22.63,0,0,5,SIM-SUP-04,UNMAPPED,synthetic_demo,QUEEN OF THE SKIES HOLIDAY PURSE
2011-12-09,20664,SIM-DC-01,1,13.10,0,0,5,SIM-SUP-10,UNMAPPED,synthetic_demo,TROPICAL HOLIDAY PURSE
2011-12-09,20665,SIM-DC-01,2,46.20,0,0,5,SIM-SUP-05,UNMAPPED,synthetic_demo,RED RETROSPOT PURSE
2011-12-09,20666,SIM-DC-01,1,10.24,0,0,10,SIM-SUP-04,UNMAPPED,synthetic_demo,ECONOMY HOLIDAY PURSE
2011-12-09,20668,SIM-DC-01,615,15192.97,0,32,14,SIM-SUP-01,UNMAPPED,synthetic_demo,DISCO BALL CHRISTMAS DECORATION
2011-12-09,20669,SIM-DC-01,6,30.26,0,1,10,SIM-SUP-01,UNMAPPED,synthetic_demo,RED HEART LUGGAGE TAG
2011-12-09,20670,SIM-DC-01,1,6.65,0,0,5,SIM-SUP-06,UNMAPPED,synthetic_demo,VIP HOLIDAY PURSE
2011-12-09,20671,SIM-DC-01,1,6.95,0,0,3,SIM-SUP-11,UNMAPPED,synthetic_demo,BLUE TEATIME PRINT BOWL
2011-12-09,20672,SIM-DC-01,4,14.47,1,0,14,SIM-SUP-06,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,20674,SIM-DC-01,8,85.51,4,0,3,SIM-SUP-03,UNMAPPED,synthetic_demo,GREEN POLKADOT BOWL
2011-12-09,20675,SIM-DC-01,56,1053.48,0,7,10,SIM-SUP-07,UNMAPPED,synthetic_demo,BLUE POLKADOT BOWL
2011-12-09,20676,SIM-DC-01,34,820.19,0,2,5,SIM-SUP-11,UNMAPPED,synthetic_demo,RED RETROSPOT BOWL
2011-12-09,20677,SIM-DC-01,41,582.66,0,5,14,SIM-SUP-09,UNMAPPED,synthetic_demo,PINK POLKADOT BOWL
2011-12-09,20679,SIM-DC-01,13,178.55,0,1,3,SIM-SUP-07,UNMAPPED,synthetic_demo,EDWARDIAN PARASOL RED
2011-12-09,20681,SIM-DC-01,2,44.16,0,0,14,SIM-SUP-05,UNMAPPED,synthetic_demo,PINK POLKADOT CHILDRENS UMBRELLA
2011-12-09,20682,SIM-DC-01,29,316.71,0,2,14,SIM-SUP-09,UNMAPPED,synthetic_demo,RED RETROSPOT CHILDRENS UMBRELLA
2011-12-09,20684,SIM-DC-01,1,17.83,0,0,3,SIM-SUP-11,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,20685,SIM-DC-01,28,290.66,0,1,3,SIM-SUP-08,UNMAPPED,synthetic_demo,DOORMAT RED RETROSPOT
2011-12-09,20686,SIM-DC-01,5,91.36,0,0,5,SIM-SUP-11,UNMAPPED,synthetic_demo,DOLLY MIXTURE CHILDREN'S UMBRELLA
2011-12-09,20689,SIM-DC-01,1,24.19,0,0,5,SIM-SUP-12,UNMAPPED,synthetic_demo,RETRO SISTERS EXPRESSO CUPS
2011-12-09,20692,SIM-DC-01,3,18.95,0,0,10,SIM-SUP-09,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,20694,SIM-DC-01,1,7.31,0,0,5,SIM-SUP-03,UNMAPPED,synthetic_demo,FLORAL PINK MONSTER
2011-12-09,20695,SIM-DC-01,1,18.68,0,0,3,SIM-SUP-07,UNMAPPED,synthetic_demo,FLORAL BLUE MONSTER
2011-12-09,20696,SIM-DC-01,3,71.72,0,0,14,SIM-SUP-02,UNMAPPED,synthetic_demo,FLORAL SOFT CAR TOY
2011-12-09,20699,SIM-DC-01,2,37.33,1,0,7,SIM-SUP-07,UNMAPPED,synthetic_demo,MOUSEY LONG LEGS SOFT TOY
2011-12-09,20700,SIM-DC-01,2,39.62,0,0,7,SIM-SUP-03,UNMAPPED,synthetic_demo,GREEN CAT FLORAL CUSHION COVER
2011-12-09,20701,SIM-DC-01,1,10.75,0,0,10,SIM-SUP-08,UNMAPPED,synthetic_demo,PINK CAT FLORAL CUSHION COVER
2011-12-09,20702,SIM-DC-01,2,10.06,0,0,5,SIM-SUP-05,UNMAPPED,synthetic_demo,PINK PADDED MOBILE
2011-12-09,20703,SIM-DC-01,1,12.46,0,0,7,SIM-SUP-05,UNMAPPED,synthetic_demo,BLUE PADDED SOFT MOBILE
2011-12-09,20704,SIM-DC-01,2,19.57,0,0,3,SIM-SUP-01,UNMAPPED,synthetic_demo,MR ROBOT SOFT TOY
2011-12-09,20705,SIM-DC-01,2,13.63,0,0,7,SIM-SUP-11,UNMAPPED,synthetic_demo,MRS ROBOT SOFT TOY
2011-12-09,20707,SIM-DC-01,2,5.52,1,0,14,SIM-SUP-01,UNMAPPED,synthetic_demo,CRAZY DAISY HEART DECORATION
2011-12-09,20711,SIM-DC-01,31,752.10,8,2,3,SIM-SUP-04,UNMAPPED,synthetic_demo,JUMBO BAG TOYS
2011-12-09,20712,SIM-DC-01,183,1451.81,0,15,14,SIM-SUP-05,UNMAPPED,synthetic_demo,JUMBO BAG WOODLAND ANIMALS
2011-12-09,20713,SIM-DC-01,129,1430.45,0,5,14,SIM-SUP-05,UNMAPPED,synthetic_demo,JUMBO BAG OWLS
2011-12-09,20716,SIM-DC-01,1,22.97,0,0,10,SIM-SUP-12,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,20717,SIM-DC-01,154,2339.81,0,6,14,SIM-SUP-10,UNMAPPED,synthetic_demo,STRAWBERRY SHOPPER BAG
2011-12-09,20718,SIM-DC-01,157,2504.11,0,17,7,SIM-SUP-04,UNMAPPED,synthetic_demo,RED RETROSPOT SHOPPER BAG
2011-12-09,20719,SIM-DC-01,54,251.79,0,3,5,SIM-SUP-05,UNMAPPED,synthetic_demo,WOODLAND CHARLOTTE BAG
2011-12-09,20723,SIM-DC-01,340,7801.46,0,36,14,SIM-SUP-10,UNMAPPED,synthetic_demo,STRAWBERRY CHARLOTTE BAG
2011-12-09,20724,SIM-DC-01,276,1202.86,0,41,7,SIM-SUP-12,UNMAPPED,synthetic_demo,RED RETROSPOT CHARLOTTE BAG
2011-12-09,20725,SIM-DC-01,60,1168.26,0,9,3,SIM-SUP-06,UNMAPPED,synthetic_demo,LUNCH BAG RED RETROSPOT
2011-12-09,20726,SIM-DC-01,78,1536.66,0,11,3,SIM-SUP-08,UNMAPPED,synthetic_demo,LUNCH BAG WOODLAND
2011-12-09,20727,SIM-DC-01,134,2859.86,0,17,7,SIM-SUP-11,UNMAPPED,synthetic_demo,LUNCH BAG BLACK SKULL.
2011-12-09,20728,SIM-DC-01,82,1461.25,0,10,3,SIM-SUP-10,UNMAPPED,synthetic_demo,LUNCH BAG CARS BLUE
2011-12-09,20729,SIM-DC-01,0,0.00,0,0,10,SIM-SUP-05,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,20730,SIM-DC-01,1,13.96,0,0,3,SIM-SUP-05,UNMAPPED,synthetic_demo,STRAWBERRY CANDY BAG
2011-12-09,20731,SIM-DC-01,1,23.22,0,0,3,SIM-SUP-01,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,20733,SIM-DC-01,20,432.46,0,0,7,SIM-SUP-06,UNMAPPED,synthetic_demo,GOLD MINI TAPE MEASURE
2011-12-09,20734,SIM-DC-01,1,20.96,1,0,7,SIM-SUP-09,UNMAPPED,synthetic_demo,SILVER MINI TAPE MEASURE
2011-12-09,20735,SIM-DC-01,5,124.74,0,1,7,SIM-SUP-06,UNMAPPED,synthetic_demo,BLACK MINI TAPE MEASURE
2011-12-09,20738,SIM-DC-01,2,13.71,0,0,5,SIM-SUP-02,UNMAPPED,synthetic_demo,GREEN MINI TAPE MEASURE
2011-12-09,20747,SIM-DC-01,1,20.00,0,0,14,SIM-SUP-01,UNMAPPED,synthetic_demo,UNKNOWN
2011-12-09,20748,SIM-DC-01,1,16.38,0,0,3,SIM-SUP-03,UNMAPPED,synthetic_demo,KENSINGTON COFFEE SET
2011-12-09,20749,SIM-DC-01,48,1192.33,3,5,5,SIM-SUP-04,UNMAPPED,synthetic_demo,ASSORTED COLOUR MINI CASES
2011-12-09,20750,SIM-DC-01,91,280.01,0,10,14,SIM-SUP-04,UNMAPPED,synthetic_demo,RED RETROSPOT MINI CASES
2011-12-09,20751,SIM-DC-01,12,108.02,0,0,5,SIM-SUP-02,UNMAPPED,synthetic_demo,FUNKY WASHING UP GLOVES ASSORTED
2011-12-09,20752,SIM-DC-01,4,10.50,0,1,7,SIM-SUP-08,UNMAPPED,synthetic_demo,BLUE POLKADOT WASHING UP GLOVES
2011-12-09,20754,SIM-DC-01,12,245.79,0,2,10,SIM-SUP-06,UNMAPPED,synthetic_demo,RETROSPOT RED WASHING UP GLOVES
2011-12-09,20755,SIM-DC-01,31,736.41,0,2,14,SIM-SUP-05,UNMAPPED,synthetic_demo,BLUE PAISLEY POCKET BOOK
2011-12-09,20756,SIM-DC-01,7,157.16,0,1,14,SIM-SUP-07,UNMAPPED,synthetic_demo,GREEN FERN POCKET BOOK
2011-12-09,20757,SIM-DC-01,23,359.31,0,3,14,SIM-SUP-01,UNMAPPED,synthetic_demo,RED DAISY POCKET BOOK
2011-12-09,20758,SIM-DC-01,3,27.58,0,0,3,SIM-SUP-03,UNMAPPED,synthetic_demo,ABSTRACT CIRCLES POCKET BOOK
2011-12-09,20759,SIM-DC-01,2,33.61,0,0,5,SIM-SUP-12,UNMAPPED,synthetic_demo,CHRYSANTHEMUM POCKET BOOK
2011-12-09,20760,SIM-DC-01,3,8.12,0,0,5,SIM-SUP-01,UNMAPPED,synthetic_demo,GARDEN PATH POCKET BOOK
2011-12-09,20761,SIM-DC-01,4,53.32,0,0,7,SIM-SUP-08,UNMAPPED,synthetic_demo,BLUE PAISLEY SKETCHBOOK
2011-12-09,20762,SIM-DC-01,2,10.73,0,0,10,SIM-SUP-05,UNMAPPED,synthetic_demo,GREEN FERN SKETCHBOOK
2011-12-09,20763,SIM-DC-01,10,192.36,0,1,14,SIM-SUP-06,UNMAPPED,synthetic_demo,DAISY SKETCHBOOK
2011-12-09,20764,SIM-DC-01,7,96.50,0,0,10,SIM-SUP-11,UNMAPPED,synthetic_demo,ABSTRACT CIRCLES SKETCHBOOK
2011-12-09,20765,SIM-DC-01,1,24.27,0,0,10,SIM-SUP-02,UNMAPPED,synthetic_demo,CHRYSANTHEMUM SKETCHBOOK
2011-12-09,20766,SIM-DC-01,11,123.64,0,1,14,SIM-SUP-07,UNMAPPED,synthetic_demo,GARDEN PATH SKETCHBOOK
2011-12-09,20767,SIM-DC-01,3,12.98,0,0,10,SIM-SUP-08,UNMAPPED,synthetic_demo,BLUE PAISLEY JOURNAL
2011-12-09,20768,SIM-DC-01,7,172.14,0,1,5,SIM-SUP-09,UNMAPPED,synthetic_demo,GREEN FERN JOURNAL
2011-12-09,20769,SIM-DC-01,3,22.24,0,0,7,SIM-SUP-03,UNMAPPED,synthetic_demo,DAISY JOURNAL
2011-12-09,20770,SIM-DC-01,4,13.95,1,0,10,SIM-SUP-02,UNMAPPED,synthetic_demo,ABSTRACT CIRCLE JOURNAL
2011-12-09,20771,SIM-DC-01,5,91.45,0,1,14,SIM-SUP-02,UNMAPPED,synthetic_demo,CHRYSANTHEMUM JOURNAL
