date,sku_id,description,demand_units,median_active_day_units,q1_units,q3_units,spike_threshold_units,multiple_of_median
2010-12-07,22189,CREAM HEART CARD HOLDER,2042,9.00,4.00,19.00,41.50,226.89
2011-08-04,22197,POPCORN HOLDER,2036,50.00,20.00,136.00,310.00,40.72
2010-03-15,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2016,96.00,48.00,227.50,496.75,21.00
2010-12-07,22188,BLACK HEART CARD HOLDER,2016,4.00,2.00,9.00,19.50,504.00
2011-11-07,22197,POPCORN HOLDER,2012,50.00,20.00,136.00,310.00,40.24
2010-09-20,22632,HAND WARMER RED RETROSPOT,2004,33.00,14.00,89.75,203.38,60.73
2011-08-24,16014,SMALL CHINESE STYLE SCISSOR,2004,20.00,10.00,60.50,136.25,100.20
2011-05-06,16014,SMALL CHINESE STYLE SCISSOR,2001,20.00,10.00,60.50,136.25,100.05
2009-12-22,79163,BLACK CHAMPAGNE GLASS,2000,18.00,6.00,48.00,111.00,111.11
2010-06-14,16014,SMALL CHINESE STYLE SCISSOR,2000,20.00,10.00,60.50,136.25,100.00
2010-08-09,16053,POPART COL BALLPOINT PEN ASST,2000,50.00,48.50,50.00,52.25,40.00
2010-09-27,16053,POPART COL BALLPOINT PEN ASST,2000,50.00,48.50,50.00,52.25,40.00
2010-11-04,21704,BAG 250g SWIRLY MARBLES,1971,14.00,11.00,39.50,82.25,140.79
2010-11-04,21915,RED HARMONICA IN BOX,1960,24.00,12.00,60.00,132.00,81.67
2011-09-20,23288,GREEN VINTAGE SPOT BEAKER,1952,8.00,3.00,16.00,35.50,244.00
2011-09-20,23285,PINK VINTAGE SPOT BEAKER,1944,8.00,3.00,16.75,37.38,243.00
2010-09-03,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1924,24.00,6.00,76.50,182.25,80.17
2011-10-20,22595,GINGHAM HEART DECORATION,1908,24.00,12.00,48.00,102.00,79.50
2011-09-20,23286,BLUE VINTAGE SPOT BEAKER,1882,9.00,4.00,17.00,36.50,209.11
2010-08-09,85109,PINK BOUDOIR T-LIGHT HOLDER,1872,12.00,7.50,42.00,93.75,156.00
2010-09-27,85109,PINK BOUDOIR T-LIGHT HOLDER,1872,12.00,7.50,42.00,93.75,156.00
2011-07-05,15036,ASSORTED COLOURS SILK FAN,1846,27.00,12.00,72.00,162.00,68.37
2010-12-02,84950,ASSORTED COLOUR T-LIGHT HOLDER,1824,12.00,12.00,24.00,42.00,152.00
2011-12-07,23084,RABBIT NIGHT LIGHT,1819,37.50,6.75,320.25,790.50,48.51
2011-09-19,21787,RAIN PONCHO RETROSPOT,1815,24.00,3.00,30.00,70.50,75.62
2009-12-22,17164B,ASS COL SMALL SAND GECKO P'WEIGHT,1800,8.00,2.00,36.00,87.00,225.00
2010-02-15,20653,CHERRY BLOSSOM LUGGAGE TAG,1800,1.00,1.00,2.75,5.38,1800.00
2010-02-19,16033,UNKNOWN,1800,120.00,120.00,120.00,240.00,15.00
2010-04-13,22719,UNKNOWN,1800,4.00,2.00,12.50,28.25,450.00
2011-04-13,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1776,96.00,48.00,227.50,496.75,18.50
2011-11-14,22197,POPCORN HOLDER,1767,50.00,20.00,136.00,310.00,35.34
2010-03-10,84568,GIRLS ALPHABET IRON ON PATCHES,1728,17.00,7.00,288.00,709.50,101.65
2010-05-24,35649,VINTAGE BEAD COSMETIC BAG,1728,1.00,1.00,2.25,4.12,1728.00
2010-12-12,17096,ASSORTED LAQUERED INCENSE HOLDERS,1728,5.00,1.00,48.00,118.50,345.60
2011-03-30,84568,GIRLS ALPHABET IRON ON PATCHES,1728,17.00,7.00,288.00,709.50,101.65
2011-11-15,23084,RABBIT NIGHT LIGHT,1697,37.50,6.75,320.25,790.50,45.25
2010-11-19,84992,72 SWEETHEART FAIRY CAKE CASES,1693,28.00,8.00,64.75,149.88,60.46
2011-11-22,M,Manual,1686,3.00,1.00,12.00,28.50,562.00
2010-11-10,22197,POPCORN HOLDER,1684,50.00,20.00,136.00,310.00,33.68
2010-06-02,84212,"ASSORTED FLOWER COLOUR ""LEIS""",1680,24.00,18.00,60.00,123.00,70.00
2010-11-08,22197,POPCORN HOLDER,1668,50.00,20.00,136.00,310.00,33.36
2010-09-27,21279,VINTAGE KITCHEN PRINT FRUITS,1636,2.00,1.00,6.00,13.50,818.00
2010-08-09,21279,VINTAGE KITCHEN PRINT FRUITS,1632,2.00,1.00,6.00,13.50,816.00
2009-12-08,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1610,107.00,59.00,184.00,371.50,15.05
2011-06-09,16216,LETTER SHAPE PENCIL SHARPENER,1610,10.00,5.00,80.00,192.50,161.00
2010-09-27,22952,60 CAKE CASES VINTAGE CHRISTMAS,1596,97.00,36.75,192.00,424.88,16.45
2010-02-24,22417,PACK OF 60 SPACEBOY CAKE CASES,1587,25.00,5.75,50.25,117.00,63.48
2010-11-24,17003,BROCADE RING PURSE,1584,37.00,36.00,110.00,221.00,42.81
2011-10-06,85099B,JUMBO BAG RED RETROSPOT,1583,118.50,45.00,220.75,484.38,13.36
2011-10-04,21915,RED HARMONICA IN BOX,1566,24.00,12.00,60.00,132.00,65.25
2011-01-19,21212,PACK OF 72 RETROSPOT CAKE CASES,1540,97.50,48.25,196.50,418.88,15.79
2010-06-09,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1536,96.00,48.00,227.50,496.75,16.00
2010-08-09,21281,VINTAGE KITCHEN PRINT SEAFOOD,1536,1.00,1.00,6.00,13.50,1536.00
2010-09-27,21281,VINTAGE KITCHEN PRINT SEAFOOD,1536,1.00,1.00,6.00,13.50,1536.00
2011-12-02,23582,VINTAGE DOILY JUMBO BAG RED,1534,70.00,38.50,116.50,233.50,21.91
2010-09-22,22197,POPCORN HOLDER,1525,50.00,20.00,136.00,310.00,30.50
2010-08-16,21900,"KEY FOB , SHED",1520,8.00,3.00,25.00,58.00,190.00
2011-06-12,22920,HERB MARKER BASIL,1515,12.00,2.00,14.00,32.00,126.25
2011-10-25,22065,CHRISTMAS PUDDING TRINKET POT,1514,12.00,5.00,36.75,84.38,126.17
2009-12-09,16014,SMALL CHINESE STYLE SCISSOR,1500,20.00,10.00,60.50,136.25,75.00
2010-05-24,21414,SCALLOP SHELL SOAP DISH,1500,1.50,1.00,6.00,13.50,1000.00
2011-02-15,16014,SMALL CHINESE STYLE SCISSOR,1500,20.00,10.00,60.50,136.25,75.00
2011-10-24,22102,MIRROR MOSAIC T-LIGHT HOLDER,1499,6.00,2.25,6.00,11.62,249.83
2010-12-09,22328,ROUND SNACK BOXES SET OF 4 FRUITS,1497,12.00,6.00,24.00,51.00,124.75
2011-09-20,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,1496,10.00,5.25,21.00,44.62,149.60
2010-09-03,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1488,96.00,48.00,227.50,496.75,15.50
2010-11-11,22616,PACK OF 12 LONDON TISSUES,1480,36.00,12.00,76.50,173.25,41.11
2011-07-07,84992,72 SWEETHEART FAIRY CAKE CASES,1477,28.00,8.00,64.75,149.88,52.75
2011-10-27,17003,BROCADE RING PURSE,1476,37.00,36.00,110.00,221.00,39.89
2010-04-07,84270,UNKNOWN,1471,62.00,30.00,120.00,255.00,23.73
2011-10-28,23084,RABBIT NIGHT LIGHT,1469,37.50,6.75,320.25,790.50,39.17
2011-07-28,84568,GIRLS ALPHABET IRON ON PATCHES,1452,17.00,7.00,288.00,709.50,85.41
2011-09-20,22969,HOMEMADE JAM SCENTED CANDLES,1452,24.00,12.00,48.00,102.00,60.50
2010-12-02,21915,RED HARMONICA IN BOX,1448,24.00,12.00,60.00,132.00,60.33
2011-10-07,22273,FELTCRAFT DOLL MOLLY,1446,6.00,2.00,12.00,27.00,241.00
2010-08-13,84568,GIRLS ALPHABET IRON ON PATCHES,1445,17.00,7.00,288.00,709.50,85.00
2010-03-10,84598,BOYS ALPHABET IRON ON PATCHES,1444,10.00,5.00,25.50,56.25,144.40
2010-01-06,16033,UNKNOWN,1440,120.00,120.00,120.00,240.00,12.00
2010-01-27,84212,"ASSORTED FLOWER COLOUR ""LEIS""",1440,24.00,18.00,60.00,123.00,60.00
2010-03-01,17084R,ASSORTED INCENSE PACK,1440,72.00,72.00,144.00,252.00,20.00
2010-03-05,17084R,ASSORTED INCENSE PACK,1440,72.00,72.00,144.00,252.00,20.00
2010-04-18,16033,UNKNOWN,1440,120.00,120.00,120.00,240.00,12.00
2010-04-19,16033,UNKNOWN,1440,120.00,120.00,120.00,240.00,12.00
2010-05-13,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,1440,40.00,16.00,96.00,216.00,36.00
2010-05-14,17003,BROCADE RING PURSE,1440,37.00,36.00,110.00,221.00,38.92
2010-08-09,85006,SET 4 NURSERY DES ROUND BOXES,1440,6.00,1.00,6.00,13.50,240.00
2010-08-13,84598,BOYS ALPHABET IRON ON PATCHES,1440,10.00,5.00,25.50,56.25,144.00
2010-09-06,17003,BROCADE RING PURSE,1440,37.00,36.00,110.00,221.00,38.92
2010-09-27,85006,SET 4 NURSERY DES ROUND BOXES,1440,6.00,1.00,6.00,13.50,240.00
2010-10-01,84568,GIRLS ALPHABET IRON ON PATCHES,1440,17.00,7.00,288.00,709.50,84.71
2010-11-09,84598,BOYS ALPHABET IRON ON PATCHES,1440,10.00,5.00,25.50,56.25,144.00
2010-11-28,84568,GIRLS ALPHABET IRON ON PATCHES,1440,17.00,7.00,288.00,709.50,84.71
2010-12-03,17084R,ASSORTED INCENSE PACK,1440,72.00,72.00,144.00,252.00,20.00
2011-01-26,17003,BROCADE RING PURSE,1440,37.00,36.00,110.00,221.00,38.92
2011-07-31,84568,GIRLS ALPHABET IRON ON PATCHES,1440,17.00,7.00,288.00,709.50,84.71
2011-09-01,84568,GIRLS ALPHABET IRON ON PATCHES,1440,17.00,7.00,288.00,709.50,84.71
2011-01-11,22469,HEART OF WICKER SMALL,1405,42.00,19.00,74.00,156.50,33.45
2011-12-07,22413,METAL SIGN TAKE IT OR LEAVE IT,1404,6.00,3.00,12.00,25.50,234.00
2010-02-15,20730,STRAWBERRY CANDY BAG,1400,3.00,1.00,14.00,33.50,466.67
2010-12-09,22492,MINI PAINT SET VINTAGE,1394,72.00,36.00,109.00,218.50,19.36
2011-06-30,23171,REGENCY TEA PLATE GREEN,1376,15.50,11.25,36.00,73.12,88.77
2011-08-18,21212,PACK OF 72 RETROSPOT CAKE CASES,1369,97.50,48.25,196.50,418.88,14.04
2011-12-02,22197,POPCORN HOLDER,1369,50.00,20.00,136.00,310.00,27.38
2011-05-11,23167,SMALL CERAMIC TOP STORAGE JAR,1350,13.00,6.50,39.50,89.00,103.85
2010-02-15,85197,SET OF 12 MINI BUNNIES IN A BUCKET,1344,2.00,1.00,6.00,13.50,672.00
2010-11-11,85099B,JUMBO BAG RED RETROSPOT,1343,118.50,45.00,220.75,484.38,11.33
2011-03-20,22616,PACK OF 12 LONDON TISSUES,1321,36.00,12.00,76.50,173.25,36.69
2011-11-09,84879,ASSORTED COLOUR BIRD ORNAMENT,1312,80.00,40.00,160.00,340.00,16.40
