snapshot_date,sku_id,description,category,location_count,on_hand_quantity,on_order_quantity,reserved_quantity,available_supply_quantity,inventory_value,avg_daily_forecast_units,lead_time_days,reorder_point_units,days_of_supply,potential_stockout,excess_inventory,slow_moving,risk_level,risk_reason
,17091A,LAVENDER INCENSE IN TIN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17091B,JASMINE TEA INCENSE IN TIN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17091J,VANILLA INCENSE IN TIN,UNMAPPED,,,,,,,1.5927,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17096,ASSORTED LAQUERED INCENSE HOLDERS,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17107D,FLOWER FAIRY 5 DRAWER LINERS,UNMAPPED,,,,,,,0.3161,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17109D,Adjustment,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17129D,CLEAR COLOUR GLASS GEMS IN BAG,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17129F,BLUE GLASS GEMS IN BAG,UNMAPPED,,,,,,,0.1074,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17136A,check,UNMAPPED,,,,,,,0.1434,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17164B,ASS COL SMALL SAND GECKO P'WEIGHT,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17165B,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17165D,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,17181,CIRCLE OF FRIENDS CANDLE HOLDER,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,18094C,WHITE AND BLUE CERAMIC OIL BURNER,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,UNMAPPED,,,,,,,0.2248,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,18098C,PORCELAIN BUTTERFLY OIL BURNER,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20615,BLUE POLKADOT PASSPORT COVER,UNMAPPED,,,,,,,0.5068,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20616,CHERRY BLOSSOM PASSPORT COVER,UNMAPPED,,,,,,,0.3004,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20617,FIRST CLASS PASSPORT COVER,UNMAPPED,,,,,,,0.1726,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20618,QUEEN OF THE SKIES PASSPORT COVER,UNMAPPED,,,,,,,0.2141,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20619,TROPICAL PASSPORT COVER,UNMAPPED,,,,,,,0.2946,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20621,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20622,VIP PASSPORT COVER,UNMAPPED,,,,,,,0.3280,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20652,BLUE POLKADOT LUGGAGE TAG,UNMAPPED,,,,,,,0.4257,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20653,CHERRY BLOSSOM LUGGAGE TAG,UNMAPPED,,,,,,,0.2414,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20654,FIRST CLASS LUGGAGE TAG,UNMAPPED,,,,,,,0.2437,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20655,QUEEN OF SKIES LUGGAGE TAG,UNMAPPED,,,,,,,0.3047,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20657,TROPICAL LUGGAGE TAG,UNMAPPED,,,,,,,0.1093,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20658,RED RETROSPOT LUGGAGE TAG,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20659,ECONOMY LUGGAGE TAG,UNMAPPED,,,,,,,0.3629,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20661,BLUE POLKADOT PURSE,UNMAPPED,,,,,,,0.2181,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20662,FIRST CLASS HOLIDAY PURSE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20663,QUEEN OF THE SKIES HOLIDAY PURSE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20664,TROPICAL HOLIDAY PURSE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20665,RED RETROSPOT PURSE,UNMAPPED,,,,,,,0.2641,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20666,ECONOMY HOLIDAY PURSE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20668,DISCO BALL CHRISTMAS DECORATION,UNMAPPED,,,,,,,16.9828,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20669,RED HEART LUGGAGE TAG,UNMAPPED,,,,,,,0.5188,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20670,VIP HOLIDAY PURSE,UNMAPPED,,,,,,,0.1006,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20671,BLUE TEATIME PRINT BOWL,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20672,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20674,GREEN POLKADOT BOWL,UNMAPPED,,,,,,,1.6853,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20675,BLUE POLKADOT BOWL,UNMAPPED,,,,,,,1.9435,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20676,RED RETROSPOT BOWL,UNMAPPED,,,,,,,5.8043,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20677,PINK POLKADOT BOWL,UNMAPPED,,,,,,,3.6210,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20679,EDWARDIAN PARASOL RED,UNMAPPED,,,,,,,1.8695,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20681,PINK POLKADOT CHILDRENS UMBRELLA,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20682,RED RETROSPOT CHILDRENS UMBRELLA,UNMAPPED,,,,,,,2.4573,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20684,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20685,DOORMAT RED RETROSPOT,UNMAPPED,,,,,,,4.9893,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,UNMAPPED,,,,,,,0.3997,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20689,RETRO SISTERS EXPRESSO CUPS,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20692,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20694,FLORAL PINK MONSTER,UNMAPPED,,,,,,,0.1096,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20695,FLORAL BLUE MONSTER,UNMAPPED,,,,,,,0.0980,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20696,FLORAL SOFT CAR TOY,UNMAPPED,,,,,,,0.0963,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20699,MOUSEY LONG LEGS SOFT TOY,UNMAPPED,,,,,,,0.1231,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20700,GREEN CAT FLORAL CUSHION COVER,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20701,PINK CAT FLORAL CUSHION COVER,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20702,PINK PADDED MOBILE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20703,BLUE PADDED SOFT MOBILE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20704,MR ROBOT SOFT TOY,UNMAPPED,,,,,,,0.2736,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20705,MRS ROBOT SOFT TOY,UNMAPPED,,,,,,,0.2448,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20707,CRAZY DAISY HEART DECORATION,UNMAPPED,,,,,,,0.2026,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20711,JUMBO BAG TOYS,UNMAPPED,,,,,,,3.7032,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20712,JUMBO BAG WOODLAND ANIMALS,UNMAPPED,,,,,,,10.5143,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20713,JUMBO BAG OWLS,UNMAPPED,,,,,,,7.8464,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20716,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20717,STRAWBERRY SHOPPER BAG,UNMAPPED,,,,,,,3.4587,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20718,RED RETROSPOT SHOPPER BAG,UNMAPPED,,,,,,,8.2602,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20719,WOODLAND CHARLOTTE BAG,UNMAPPED,,,,,,,12.9317,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20723,STRAWBERRY CHARLOTTE BAG,UNMAPPED,,,,,,,12.5184,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20724,RED RETROSPOT CHARLOTTE BAG,UNMAPPED,,,,,,,16.6556,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20725,LUNCH BAG RED RETROSPOT,UNMAPPED,,,,,,,16.2039,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20726,LUNCH BAG WOODLAND,UNMAPPED,,,,,,,11.5176,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20727,LUNCH BAG BLACK SKULL.,UNMAPPED,,,,,,,15.0080,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20728,LUNCH BAG CARS BLUE,UNMAPPED,,,,,,,12.4884,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20729,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20730,STRAWBERRY CANDY BAG,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20731,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20733,GOLD MINI TAPE MEASURE,UNMAPPED,,,,,,,1.2525,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20734,SILVER MINI TAPE MEASURE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20735,BLACK MINI TAPE MEASURE,UNMAPPED,,,,,,,0.2253,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20738,GREEN MINI TAPE MEASURE,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20747,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20748,KENSINGTON COFFEE SET,UNMAPPED,,,,,,,0.1758,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20749,ASSORTED COLOUR MINI CASES,UNMAPPED,,,,,,,3.2889,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20750,RED RETROSPOT MINI CASES,UNMAPPED,,,,,,,3.8740,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20751,FUNKY WASHING UP GLOVES ASSORTED,UNMAPPED,,,,,,,0.7624,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20752,BLUE POLKADOT WASHING UP GLOVES,UNMAPPED,,,,,,,0.4684,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20754,RETROSPOT RED WASHING UP GLOVES,UNMAPPED,,,,,,,0.3848,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20755,BLUE PAISLEY POCKET BOOK,UNMAPPED,,,,,,,1.2027,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20756,GREEN FERN POCKET BOOK,UNMAPPED,,,,,,,0.2014,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20757,RED DAISY POCKET BOOK,UNMAPPED,,,,,,,0.6057,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20758,ABSTRACT CIRCLES POCKET BOOK,UNMAPPED,,,,,,,0.5023,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20759,CHRYSANTHEMUM POCKET BOOK,UNMAPPED,,,,,,,0.2580,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20760,GARDEN PATH POCKET BOOK,UNMAPPED,,,,,,,0.2104,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20761,BLUE PAISLEY SKETCHBOOK,UNMAPPED,,,,,,,0.3388,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20762,GREEN FERN SKETCHBOOK,UNMAPPED,,,,,,,0.2022,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20763,DAISY SKETCHBOOK,UNMAPPED,,,,,,,0.2713,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20764,ABSTRACT CIRCLES SKETCHBOOK,UNMAPPED,,,,,,,0.6521,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20765,CHRYSANTHEMUM SKETCHBOOK,UNMAPPED,,,,,,,0.2730,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20766,GARDEN PATH SKETCHBOOK,UNMAPPED,,,,,,,0.2834,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20767,BLUE PAISLEY JOURNAL,UNMAPPED,,,,,,,0.5511,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20768,GREEN FERN JOURNAL,UNMAPPED,,,,,,,0.4954,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20769,DAISY JOURNAL,UNMAPPED,,,,,,,0.4298,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20770,ABSTRACT CIRCLE JOURNAL,UNMAPPED,,,,,,,0.1187,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20771,CHRYSANTHEMUM JOURNAL,UNMAPPED,,,,,,,0.4198,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20772,GARDEN PATH JOURNAL,UNMAPPED,,,,,,,0.8528,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20773,BLUE PAISLEY NOTEBOOK,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20774,GREEN FERN NOTEBOOK,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20775,DAISY NOTEBOOK,UNMAPPED,,,,,,,0.7712,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20776,ABSTRACT CIRCLES NOTEBOOK,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20777,CHRYSANTHEMUM NOTEBOOK,UNMAPPED,,,,,,,1.2674,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20778,UNKNOWN,UNMAPPED,,,,,,,0.0875,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20780,BLACK EAR MUFF HEADPHONES,UNMAPPED,,,,,,,0.2382,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
,20781,GOLD EAR MUFF HEADPHONES,UNMAPPED,,,,,,,0.2837,,,,,,,data_unavailable,inventory_snapshot_missing_or_empty
