grain,period_start,demand_units,sales_revenue,sales_lines
daily,2010-05-05,15743,28100.92,1505
daily,2010-05-06,31669,54582.20,2043
daily,2010-05-07,27049,35744.13,1332
daily,2010-05-09,11825,22852.06,1691
daily,2010-05-10,28506,32905.93,1602
daily,2010-05-11,18700,28722.09,1670
daily,2010-05-12,22235,31357.44,1243
daily,2010-05-13,27341,41041.60,1327
daily,2010-05-14,15064,18873.96,799
daily,2010-05-16,11028,18370.09,1467
daily,2010-05-17,16158,25513.64,1364
daily,2010-05-18,24801,28911.53,1457
daily,2010-05-19,9816,17696.18,1165
daily,2010-05-20,15974,25679.04,1572
daily,2010-05-21,10356,27275.22,1281
daily,2010-05-23,13889,25127.13,1286
daily,2010-05-24,34668,35787.18,1405
daily,2010-05-25,15421,22364.37,1366
daily,2010-05-26,18921,38397.29,1800
daily,2010-05-27,17952,30802.74,1989
daily,2010-05-28,12843,21823.33,1190
daily,2010-05-30,6220,10733.47,780
daily,2010-06-01,8287,15634.28,1192
daily,2010-06-02,12041,16172.54,941
daily,2010-06-03,17585,29509.13,1612
daily,2010-06-04,8934,21251.20,1383
daily,2010-06-06,14079,25457.15,2153
daily,2010-06-07,29525,49454.92,2559
daily,2010-06-08,26374,54216.99,2026
daily,2010-06-09,25410,38298.77,1393
daily,2010-06-10,9683,18308.72,993
daily,2010-06-11,21512,37676.65,1707
daily,2010-06-13,11120,21430.49,1420
daily,2010-06-14,16206,24304.27,1559
daily,2010-06-15,20517,30506.86,1522
daily,2010-06-16,18986,31259.33,1804
daily,2010-06-17,13445,58048.51,1741
daily,2010-06-18,9608,18789.03,949
daily,2010-06-20,4487,9078.58,432
daily,2010-06-21,12134,21029.62,1754
daily,2010-06-22,7001,14732.58,999
daily,2010-06-23,16258,27848.74,1219
daily,2010-06-24,13915,26678.78,1520
daily,2010-06-25,8437,17713.37,1213
daily,2010-06-27,10851,18706.92,1227
daily,2010-06-28,34536,53860.73,1816
daily,2010-06-29,21739,34957.49,1596
daily,2010-06-30,21053,34611.66,1809
daily,2010-07-01,16493,30179.58,1794
daily,2010-07-02,8709,16841.17,1028
daily,2010-07-04,5302,10376.29,648
daily,2010-07-05,16715,32789.40,1878
daily,2010-07-06,11962,23500.04,1095
daily,2010-07-07,14772,32201.52,1719
daily,2010-07-08,12207,20254.39,1301
daily,2010-07-09,14259,37263.04,886
daily,2010-07-11,5806,7784.95,692
daily,2010-07-12,9744,19727.37,1186
daily,2010-07-13,10046,21011.75,1133
daily,2010-07-14,14364,23775.72,1335
daily,2010-07-15,27823,56511.97,1537
daily,2010-07-16,32554,22593.19,1142
daily,2010-07-18,9646,15149.84,867
daily,2010-07-19,18541,30532.75,1425
daily,2010-07-20,12099,24760.27,1148
daily,2010-07-21,13174,22367.31,1217
daily,2010-07-22,14146,26809.30,1571
daily,2010-07-23,13371,25865.97,1020
daily,2010-07-25,11531,17230.60,1231
daily,2010-07-26,15011,25092.38,1463
daily,2010-07-27,14315,28462.87,1017
daily,2010-07-28,13365,23308.12,1298
daily,2010-07-29,14192,38300.82,1808
daily,2010-07-30,8443,16119.66,730
daily,2010-08-01,9702,30637.95,862
daily,2010-08-02,11995,28908.78,1173
daily,2010-08-03,16332,26918.11,1487
daily,2010-08-04,11740,21386.31,1374
daily,2010-08-05,62437,24406.15,1303
daily,2010-08-06,9929,15204.20,558
daily,2010-08-08,8120,13962.51,869
daily,2010-08-09,100344,31692.27,886
daily,2010-08-10,20053,35749.67,1722
daily,2010-08-11,8197,23674.57,1008
daily,2010-08-12,19238,29023.06,1774
daily,2010-08-13,18192,37283.95,1452
daily,2010-08-15,17333,22161.18,1028
daily,2010-08-16,13046,20809.60,1014
daily,2010-08-17,18400,30377.13,923
daily,2010-08-18,22957,37128.55,1600
daily,2010-08-19,22520,32973.66,1515
daily,2010-08-20,19177,25537.19,1283
daily,2010-08-22,13884,22677.01,1346
daily,2010-08-23,13324,21891.58,1154
daily,2010-08-24,19081,27450.06,1128
daily,2010-08-25,17580,31651.98,1596
daily,2010-08-26,17655,35255.41,1646
daily,2010-08-27,7384,18128.99,1029
daily,2010-08-29,8766,14449.30,801
daily,2010-08-31,14376,35912.74,1744
daily,2010-09-01,12914,23331.90,970
daily,2010-09-02,21964,36441.07,1601
daily,2010-09-03,31293,37214.19,1018
daily,2010-09-05,7225,12286.71,798
daily,2010-09-06,16238,28770.40,1561
daily,2010-09-07,15746,27488.26,1138
daily,2010-09-08,10223,17601.46,1073
daily,2010-09-09,13450,25691.89,1594
daily,2010-09-10,10526,17604.47,987
daily,2010-09-12,9278,15528.75,1271
daily,2010-09-13,28407,38362.18,1951
daily,2010-09-14,11384,21209.26,1272
daily,2010-09-15,26578,34799.62,1386
daily,2010-09-16,14522,40358.82,1586
daily,2010-09-17,11860,21439.92,1099
daily,2010-09-19,13697,22895.33,1934
daily,2010-09-20,25070,43878.50,1800
daily,2010-09-21,37383,62499.11,2358
daily,2010-09-22,14754,30571.48,1463
daily,2010-09-23,22523,36202.41,1973
daily,2010-09-24,28035,50457.26,1528
daily,2010-09-26,13385,21751.15,1417
daily,2010-09-27,126137,118838.47,2253
daily,2010-09-28,23634,46361.40,2719
daily,2010-09-29,21503,38634.22,1874
daily,2010-09-30,24886,51478.76,2083
daily,2010-10-01,22718,38654.61,1716
daily,2010-10-03,20343,38474.71,2180
daily,2010-10-04,23531,39336.53,2085
daily,2010-10-05,35102,84825.58,2646
daily,2010-10-06,21884,30812.44,1275
daily,2010-10-07,30076,54313.44,3519
daily,2010-10-08,41446,60283.50,1964
daily,2010-10-10,12414,23146.51,1704
daily,2010-10-11,25125,43428.66,2434
daily,2010-10-12,29533,49933.33,2410
daily,2010-10-13,40099,57672.89,2129
daily,2010-10-14,37254,87417.94,1985
daily,2010-10-15,22529,54812.26,2276
daily,2010-10-17,18978,33093.14,2642
daily,2010-10-18,20090,41423.58,2718
daily,2010-10-19,27257,50020.09,2249
daily,2010-10-20,24105,45639.82,2423
daily,2010-10-21,17805,39004.08,2096
daily,2010-10-22,23351,41053.29,2090
daily,2010-10-24,15445,28639.54,2311
daily,2010-10-25,14738,29434.97,1870
daily,2010-10-26,25987,45948.56,2457
daily,2010-10-27,16216,32925.50,1816
daily,2010-10-28,14298,34420.25,1564
daily,2010-10-29,25601,47226.31,1923
daily,2010-10-31,16352,29960.69,2611
daily,2010-11-01,14479,29540.88,2141
daily,2010-11-02,24761,44949.16,2220
daily,2010-11-03,24706,45352.54,1999
daily,2010-11-04,60297,89585.63,3540
daily,2010-11-05,23016,46566.95,1922
daily,2010-11-07,18430,31541.10,2711
daily,2010-11-08,33090,90826.50,2584
daily,2010-11-09,35882,66091.24,2763
daily,2010-11-10,35184,79992.41,3516
daily,2010-11-11,34888,64114.18,3181
daily,2010-11-12,23221,50806.23,3036
daily,2010-11-14,17295,28950.46,2772
daily,2010-11-15,38085,104910.96,3671
daily,2010-11-16,39473,72858.71,3218
daily,2010-11-17,28549,51468.87,2790
daily,2010-11-18,21378,44906.07,2842
daily,2010-11-19,25333,47814.41,2459
daily,2010-11-21,17985,32056.05,3151
daily,2010-11-22,19836,43155.91,3229
daily,2010-11-23,26973,58356.99,3543
daily,2010-11-24,28773,61666.06,3273
daily,2010-11-25,38054,72282.86,3425
daily,2010-11-26,17814,40403.51,2555
daily,2010-11-28,16298,27132.76,2472
daily,2010-11-29,40057,79083.96,3891
daily,2010-11-30,26560,59878.74,2263
daily,2010-12-01,26906,58776.79,3037
daily,2010-12-02,31283,47629.42,2023
daily,2010-12-03,16430,46898.63,2143
daily,2010-12-05,16243,31364.63,2604
daily,2010-12-06,21775,54624.15,3774
daily,2010-12-07,25324,99553.85,2904
daily,2010-12-08,23049,45235.36,2533
daily,2010-12-09,20698,53548.19,2791
daily,2010-12-10,21031,59021.02,2663
daily,2010-12-12,10537,17125.65,1383
daily,2010-12-13,17701,37942.37,2256
daily,2010-12-14,20738,45167.56,1986
daily,2010-12-15,18453,30384.37,1295
daily,2010-12-16,29864,49114.14,1732
daily,2010-12-17,16947,45338.13,3103
daily,2010-12-19,3734,7410.47,498
daily,2010-12-20,15767,26766.23,1676
daily,2010-12-21,15650,47279.89,1563
daily,2010-12-22,3212,6199.97,285
daily,2010-12-23,5752,12071.91,943
daily,2011-01-04,8669,16005.73,1151
daily,2011-01-05,19804,32630.27,1665
daily,2011-01-06,23174,40366.45,1766
daily,2011-01-07,17160,28836.59,1766
daily,2011-01-09,8125,15590.68,1074
daily,2011-01-10,13084,24553.07,1954
daily,2011-01-11,29447,68630.54,1399
daily,2011-01-12,10607,24664.58,1772
daily,2011-01-13,10172,20612.79,1432
daily,2011-01-14,23139,47554.58,1490
daily,2011-01-16,4086,6976.39,604
daily,2011-01-17,13375,29262.72,2540
daily,2011-01-18,82964,95947.73,1421
daily,2011-01-19,17354,25874.57,1395
daily,2011-01-20,10483,21199.34,1472
daily,2011-01-21,15302,32636.55,1530
daily,2011-01-23,5200,10306.10,842
daily,2011-01-24,11955,25494.49,1464
daily,2011-01-25,15538,28952.55,1579
daily,2011-01-26,10939,19855.92,1243
daily,2011-01-27,11529,23624.30,1474
daily,2011-01-28,18135,20064.35,905
daily,2011-01-30,3383,6542.61,697
daily,2011-01-31,13406,23628.71,1469
daily,2011-02-01,15831,29013.29,1522
daily,2011-02-02,9709,21162.12,1379
daily,2011-02-03,16992,23467.73,975
daily,2011-02-04,14067,25135.84,1200
daily,2011-02-06,2036,3439.67,273
daily,2011-02-07,9128,25922.97,1220
daily,2011-02-08,10225,20935.23,1200
daily,2011-02-09,7164,16682.63,876
daily,2011-02-10,11892,14853.31,713
daily,2011-02-11,10545,22853.60,867
daily,2011-02-13,2723,5645.48,595
daily,2011-02-14,13567,26668.91,1083
daily,2011-02-15,22695,39841.71,1306
daily,2011-02-16,16117,24863.85,1177
daily,2011-02-17,14533,26357.52,1710
daily,2011-02-18,9214,16184.42,815
daily,2011-02-20,5218,9437.80,823
daily,2011-02-21,21533,36311.40,1363
daily,2011-02-22,21893,32454.50,1563
daily,2011-02-23,13742,26859.50,1569
daily,2011-02-24,11891,22800.89,1265
daily,2011-02-25,10572,20595.19,969
daily,2011-02-27,4823,9382.71,784
daily,2011-02-28,9964,21675.29,1714
daily,2011-03-01,12137,26344.68,1349
daily,2011-03-02,8612,18669.94,886
daily,2011-03-03,20111,36367.14,1335
daily,2011-03-04,13767,19486.88,1091
daily,2011-03-06,5027,9959.62,813
daily,2011-03-07,14040,32318.72,1897
daily,2011-03-08,14541,25035.12,1574
daily,2011-03-09,15125,22013.20,1237
daily,2011-03-10,16514,26118.27,1084
daily,2011-03-11,10869,25473.93,943
daily,2011-03-13,2733,4117.22,522
daily,2011-03-14,16737,25876.63,1074
daily,2011-03-15,9061,23453.34,1273
daily,2011-03-16,12883,21842.81,854
daily,2011-03-17,20975,39852.51,2008
daily,2011-03-18,14008,28107.65,1319
daily,2011-03-20,14038,21949.68,1419
daily,2011-03-21,10292,16679.47,1033
daily,2011-03-22,16645,31468.23,2344
daily,2011-03-23,14446,24078.89,1287
daily,2011-03-24,18493,36496.79,1495
daily,2011-03-25,14166,31362.56,1332
daily,2011-03-27,4496,9206.72,708
daily,2011-03-28,13485,23133.23,1635
daily,2011-03-29,32916,70711.92,1946
daily,2011-03-30,21044,31821.71,1516
daily,2011-03-31,16862,34268.40,1635
daily,2011-04-01,18529,25565.64,1212
daily,2011-04-03,5658,6897.18,705
daily,2011-04-04,14006,33234.48,1649
daily,2011-04-05,15619,30052.82,1136
daily,2011-04-06,9510,17338.36,1076
daily,2011-04-07,10508,18465.44,1481
daily,2011-04-08,13190,25240.59,1376
daily,2011-04-10,5603,9879.75,920
daily,2011-04-11,13632,22345.93,1218
daily,2011-04-12,15311,25534.94,1103
daily,2011-04-13,18752,24450.27,1009
daily,2011-04-14,18859,36084.10,1541
daily,2011-04-15,12717,28311.82,1477
daily,2011-04-17,8136,12630.34,937
daily,2011-04-18,31475,55983.99,3117
daily,2011-04-19,14461,24296.85,1843
daily,2011-04-20,18385,28667.32,990
daily,2011-04-21,18388,32582.20,1910
daily,2011-04-26,16153,30999.88,1858
daily,2011-04-27,18596,25916.15,1270
daily,2011-04-28,13826,22490.44,1129
daily,2011-05-01,3814,6958.11,446
daily,2011-05-03,12594,35196.21,1367
daily,2011-05-04,17363,27521.96,1137
daily,2011-05-05,17440,29133.41,1796
daily,2011-05-06,20422,36122.98,2017
daily,2011-05-08,10621,18731.98,1446
daily,2011-05-09,13356,27883.46,1749
daily,2011-05-10,19784,47756.53,2520
daily,2011-05-11,18894,33647.85,1655
daily,2011-05-12,37778,61829.27,1916
daily,2011-05-13,15218,30679.84,1408
daily,2011-05-15,4895,9911.38,806
daily,2011-05-16,16020,39651.28,1585
daily,2011-05-17,27100,55106.99,1865
daily,2011-05-18,19027,34376.26,1330
daily,2011-05-19,18327,35567.71,1880
daily,2011-05-20,15438,26579.95,1095
daily,2011-05-22,12645,24102.00,1536
daily,2011-05-23,18177,34610.64,1553
daily,2011-05-24,15990,37658.39,1700
daily,2011-05-25,14632,24393.90,1294
daily,2011-05-26,16349,33497.03,950
daily,2011-05-27,17011,28387.93,1128
daily,2011-05-29,4067,7338.94,613
daily,2011-05-31,11724,22652.61,1252
daily,2011-06-01,10965,20585.19,1417
daily,2011-06-02,14646,32800.49,1538
daily,2011-06-03,7680,16895.10,846
daily,2011-06-05,13397,25423.76,1500
daily,2011-06-06,9459,17767.12,1173
daily,2011-06-07,18731,37857.31,1866
daily,2011-06-08,21260,43194.43,2285
daily,2011-06-09,32322,46341.52,1812
daily,2011-06-10,11043,62234.44,1024
daily,2011-06-12,9457,12441.94,1048
daily,2011-06-13,11291,22434.76,1402
daily,2011-06-14,14602,40447.53,1571
daily,2011-06-15,30636,48974.63,1654
daily,2011-06-16,20294,34529.01,1493
daily,2011-06-17,11760,21070.47,938
daily,2011-06-19,15069,22421.48,1149
daily,2011-06-20,16726,37489.24,1973
daily,2011-06-21,14263,24752.87,1449
daily,2011-06-22,15818,21799.32,1003
daily,2011-06-23,14681,25155.63,1928
daily,2011-06-24,9981,19516.29,1020
daily,2011-06-26,3760,7032.36,655
daily,2011-06-27,9906,16985.31,1146
daily,2011-06-28,21827,35545.83,986
daily,2011-06-29,12110,22087.47,1314
daily,2011-06-30,21949,44763.51,1603
daily,2011-07-01,7792,13632.21,962
daily,2011-07-03,3091,5972.73,577
daily,2011-07-04,15722,44609.03,2175
daily,2011-07-05,22128,40754.68,2172
daily,2011-07-06,19312,26361.28,1784
daily,2011-07-07,19787,32412.43,1894
daily,2011-07-08,12725,27057.35,1577
daily,2011-07-10,4204,5959.54,803
daily,2011-07-11,15133,22529.66,1482
daily,2011-07-12,13977,26252.85,1643
daily,2011-07-13,16267,22620.61,1593
daily,2011-07-14,20824,33560.26,1643
daily,2011-07-15,7385,14793.83,1108
daily,2011-07-17,11019,17154.26,1224
daily,2011-07-18,15294,38814.88,2161
daily,2011-07-19,29340,50166.76,1569
daily,2011-07-20,17676,33252.33,1981
daily,2011-07-21,20019,32695.77,1476
daily,2011-07-22,10294,20119.97,1273
daily,2011-07-24,17661,27080.46,1109
daily,2011-07-25,16095,26876.39,1930
daily,2011-07-26,14050,21635.56,1232
daily,2011-07-27,14130,25593.74,1223
daily,2011-07-28,30568,56243.32,1504
daily,2011-07-29,11567,18716.54,1115
daily,2011-07-31,19413,33209.68,1256
daily,2011-08-01,11670,21358.64,1183
daily,2011-08-02,15718,26575.55,1329
daily,2011-08-03,16601,28068.20,1507
daily,2011-08-04,41143,65496.79,1780
daily,2011-08-05,12750,21417.13,1419
daily,2011-08-07,5175,7543.86,522
daily,2011-08-08,13400,23363.01,1449
daily,2011-08-09,16258,27672.24,1085
daily,2011-08-10,14414,28780.05,1356
daily,2011-08-11,40273,72372.89,1929
daily,2011-08-12,12022,32231.35,1113
daily,2011-08-14,3172,5701.87,531
daily,2011-08-15,10193,17235.95,911
daily,2011-08-16,11249,19234.53,1020
daily,2011-08-17,25661,53284.76,1640
daily,2011-08-18,34113,54059.10,1481
daily,2011-08-19,10664,17336.07,810
daily,2011-08-21,8081,14420.27,1039
daily,2011-08-22,15542,29645.54,1263
daily,2011-08-23,15172,25978.59,1430
daily,2011-08-24,29381,48789.72,1799
daily,2011-08-25,13463,23773.43,1285
daily,2011-08-26,18150,25610.29,923
daily,2011-08-28,6701,10686.56,1155
daily,2011-08-30,10296,31837.77,3215
daily,2011-08-31,13002,25367.22,1171
daily,2011-09-01,27851,37358.62,1392
daily,2011-09-02,18905,42226.28,2318
daily,2011-09-04,10920,17040.74,1307
daily,2011-09-05,23502,36898.35,1559
daily,2011-09-06,15070,28321.06,1114
daily,2011-09-07,16392,34413.53,2080
daily,2011-09-08,17406,27055.88,1738
daily,2011-09-09,17358,30016.33,1547
daily,2011-09-11,20906,35206.92,1970
daily,2011-09-12,17548,29526.29,1620
daily,2011-09-13,36907,55071.30,2419
daily,2011-09-14,14329,23578.78,1328
daily,2011-09-15,29296,78151.97,2143
daily,2011-09-16,16008,27720.27,1447
daily,2011-09-18,8937,15639.55,1251
daily,2011-09-19,29375,49250.87,1381
daily,2011-09-20,43690,109553.90,1686
daily,2011-09-21,22316,48529.72,3019
daily,2011-09-22,33158,59220.41,2665
daily,2011-09-23,21898,40574.40,2583
daily,2011-09-25,19425,31164.78,1931
daily,2011-09-26,15279,29270.84,1517
daily,2011-09-27,21937,36260.91,1845
daily,2011-09-28,25530,43693.08,2806
daily,2011-09-29,27665,46343.35,2455
daily,2011-09-30,22561,44347.06,1841
daily,2011-10-02,8332,11531.56,1399
daily,2011-10-03,25960,66243.94,2245
daily,2011-10-04,25692,48652.54,2722
daily,2011-10-05,46274,75460.77,2353
daily,2011-10-06,36781,62761.92,2903
daily,2011-10-07,31036,53692.50,2330
daily,2011-10-09,7285,12273.10,1219
daily,2011-10-10,26148,48121.66,3126
daily,2011-10-11,28512,52537.31,2410
daily,2011-10-12,17868,32083.11,2018
daily,2011-10-13,19018,37232.47,2264
daily,2011-10-14,18242,36294.58,1763
daily,2011-10-16,8649,21767.94,1220
daily,2011-10-17,31325,51925.61,2876
daily,2011-10-18,29553,45277.92,2845
daily,2011-10-19,19179,42467.72,2232
daily,2011-10-20,40855,60969.14,2264
daily,2011-10-21,24780,63173.39,1381
daily,2011-10-23,6953,12156.57,1673
daily,2011-10-24,26259,48335.52,2820
daily,2011-10-25,26937,41192.55,2437
daily,2011-10-26,21139,37729.47,1868
daily,2011-10-27,33771,57201.78,2451
daily,2011-10-28,24095,40455.26,1593
daily,2011-10-30,19943,34397.95,2850
daily,2011-10-31,21787,57327.45,3367
daily,2011-11-01,16866,29091.90,1722
daily,2011-11-02,28689,45690.08,2568
daily,2011-11-03,34545,63425.47,2349
daily,2011-11-04,35246,62594.59,2837
daily,2011-11-06,23089,42513.59,3343
daily,2011-11-07,31314,85705.30,2026
daily,2011-11-08,26450,57557.03,3919
daily,2011-11-09,38139,65879.97,2650
daily,2011-11-10,39126,70868.00,3171
daily,2011-11-11,28968,55107.87,4018
daily,2011-11-13,20686,33878.15,2945
daily,2011-11-14,47514,114237.40,3479
daily,2011-11-15,30847,60613.80,3371
daily,2011-11-16,32998,65672.53,4085
daily,2011-11-17,31838,60901.32,3520
daily,2011-11-18,24263,51130.39,2782
daily,2011-11-20,19107,34509.21,3224
daily,2011-11-21,25741,49674.60,2839
daily,2011-11-22,35906,63863.48,3853
daily,2011-11-23,39295,79847.00,3498
daily,2011-11-24,26518,50759.21,3659
daily,2011-11-25,31701,50690.40,3040
daily,2011-11-27,10943,20279.37,2419
daily,2011-11-28,29334,56965.73,3249
daily,2011-11-29,30845,72384.82,4220
daily,2011-11-30,28500,60025.57,3347
daily,2011-12-01,27004,52068.63,2793
daily,2011-12-02,28718,57476.48,2792
daily,2011-12-04,12298,24477.47,1977
daily,2011-12-05,44583,88620.84,5263
daily,2011-12-06,30378,56558.83,3212
daily,2011-12-07,41889,75315.55,2364
daily,2011-12-08,35597,82371.55,4838
daily,2011-12-09,93950,200918.98,1619
weekly,2009-11-30,146992,266304.65,13970
weekly,2009-12-07,120283,240516.41,12914
weekly,2009-12-14,136548,260473.31,13636
weekly,2009-12-21,40518,55189.58,3099
weekly,2010-01-04,96701,168228.58,4199
weekly,2010-01-11,77639,163595.57,9180
weekly,2010-01-18,136657,153725.87,8659
weekly,2010-01-25,84237,165605.09,8382
weekly,2010-02-01,65217,124084.09,7173
weekly,2010-02-08,51491,90814.12,5959
weekly,2010-02-15,180960,174496.56,7600
weekly,2010-02-22,94192,162109.95,7303
weekly,2010-03-01,102486,165865.59,9288
weekly,2010-03-08,78086,141839.54,7496
weekly,2010-03-15,156363,189513.73,8414
weekly,2010-03-22,135328,205712.80,9164
weekly,2010-03-29,75654,158751.60,7281
weekly,2010-04-05,84087,138173.69,6390
weekly,2010-04-12,93787,153156.41,6631
weekly,2010-04-19,89370,180330.16,9717
weekly,2010-04-26,107196,188789.16,9349
weekly,2010-05-03,97820,163981.10,7964
weekly,2010-05-10,122874,171271.11,8108
weekly,2010-05-17,90994,150202.74,8125
weekly,2010-05-24,106025,159908.38,8530
weekly,2010-05-31,60926,108024.30,7281
weekly,2010-06-07,123624,219386.54,10098
weekly,2010-06-14,83249,171986.58,8007
weekly,2010-06-21,68596,126710.01,7932
weekly,2010-06-28,107832,180826.92,8691
weekly,2010-07-05,75721,153793.34,7571
weekly,2010-07-12,104177,158769.84,7200
weekly,2010-07-19,82862,147566.20,7612
weekly,2010-07-26,75028,161921.80,7178
weekly,2010-08-02,120553,130786.06,6764
weekly,2010-08-09,183357,179584.70,7870
weekly,2010-08-16,109984,169503.14,7681
weekly,2010-08-23,83790,148827.32,7354
weekly,2010-08-30,87772,145186.61,6131
weekly,2010-09-06,75461,132685.23,7624
weekly,2010-09-13,106448,179065.13,9228
weekly,2010-09-20,141150,245359.91,10539
weekly,2010-09-27,239221,332442.17,12825
weekly,2010-10-04,164453,292718.00,13193
weekly,2010-10-11,173518,326358.22,13876
weekly,2010-10-18,128053,245780.40,13887
weekly,2010-10-25,113192,219916.28,12241
weekly,2010-11-01,165689,287536.26,14533
weekly,2010-11-08,179560,380781.02,17852
weekly,2010-11-15,170803,354015.07,18131
weekly,2010-11-22,147748,302998.09,18497
weekly,2010-11-29,157479,323632.17,15961
weekly,2010-12-06,122414,329108.22,16048
weekly,2010-12-13,107437,215357.04,10870
weekly,2010-12-20,40381,92318.00,4467
weekly,2011-01-03,76932,133429.72,7422
weekly,2011-01-10,90535,192991.95,8651
weekly,2011-01-17,144678,215227.01,9200
weekly,2011-01-24,71479,124534.22,7362
weekly,2011-01-31,72041,125847.36,6818
weekly,2011-02-07,51677,106893.22,5471
