sku_id,description,selected_model,model_family,selection_observations
20703,BLUE PADDED SOFT MOBILE,moving_average_7,statistical,14
20704,MR ROBOT SOFT TOY,moving_average_7,statistical,14
20705,MRS ROBOT SOFT TOY,moving_average_7,statistical,14
20707,CRAZY DAISY HEART DECORATION,lstm,deep_learning,14
20711,JUMBO BAG TOYS,gru,deep_learning,14
20712,JUMBO BAG WOODLAND ANIMALS,weekday_seasonal_mean,statistical,14
20713,JUMBO BAG OWLS,lstm,deep_learning,14
20716,UNKNOWN,moving_average_7,statistical,14
20717,STRAWBERRY SHOPPER BAG,lstm,deep_learning,14
20718,RED RETROSPOT SHOPPER BAG,gru,deep_learning,14
20719,WOODLAND CHARLOTTE BAG,seasonal_naive_lag_7,statistical,14
20723,STRAWBERRY CHARLOTTE BAG,seasonal_naive_lag_7,statistical,14
20724,RED RETROSPOT CHARLOTTE BAG,weekday_seasonal_mean,statistical,14
20725,LUNCH BAG RED RETROSPOT,weekday_seasonal_mean,statistical,14
20726,LUNCH BAG WOODLAND,xgboost,machine_learning,14
20727,LUNCH BAG BLACK SKULL.,lightgbm,machine_learning,14
20728,LUNCH BAG CARS BLUE,xgboost,machine_learning,14
20729,UNKNOWN,moving_average_7,statistical,14
20730,STRAWBERRY CANDY BAG,moving_average_7,statistical,14
20731,UNKNOWN,moving_average_7,statistical,14
20733,GOLD MINI TAPE MEASURE,gru,deep_learning,14
20734,SILVER MINI TAPE MEASURE,moving_average_7,statistical,14
20735,BLACK MINI TAPE MEASURE,lstm,deep_learning,14
20738,GREEN MINI TAPE MEASURE,moving_average_7,statistical,14
20747,UNKNOWN,moving_average_7,statistical,14
20748,KENSINGTON COFFEE SET,lstm,deep_learning,14
20749,ASSORTED COLOUR MINI CASES,weekday_seasonal_mean,statistical,14
20750,RED RETROSPOT MINI CASES,weekday_seasonal_mean,statistical,14
20751,FUNKY WASHING UP GLOVES ASSORTED,lstm,deep_learning,14
20752,BLUE POLKADOT WASHING UP GLOVES,lstm,deep_learning,14
20754,RETROSPOT RED WASHING UP GLOVES,gru,deep_learning,14
20755,BLUE PAISLEY POCKET BOOK,gru,deep_learning,14
20756,GREEN FERN POCKET BOOK,lstm,deep_learning,14
20757,RED DAISY POCKET BOOK,lstm,deep_learning,14
20758,ABSTRACT CIRCLES POCKET BOOK,lstm,deep_learning,14
20759,CHRYSANTHEMUM POCKET BOOK,lstm,deep_learning,14
20760,GARDEN PATH POCKET BOOK,lstm,deep_learning,14
20761,BLUE PAISLEY SKETCHBOOK,seasonal_naive_lag_7,statistical,14
20762,GREEN FERN SKETCHBOOK,lstm,deep_learning,14
20763,DAISY SKETCHBOOK,lstm,deep_learning,14
20764,ABSTRACT CIRCLES SKETCHBOOK,moving_average_7,statistical,14
20765,CHRYSANTHEMUM SKETCHBOOK,lstm,deep_learning,14
20766,GARDEN PATH SKETCHBOOK,moving_average_7,statistical,14
20767,BLUE PAISLEY JOURNAL,naive_lag_1,statistical,14
20768,GREEN FERN JOURNAL,seasonal_naive_lag_7,statistical,14
20769,DAISY JOURNAL,seasonal_naive_lag_7,statistical,14
20770,ABSTRACT CIRCLE JOURNAL,moving_average_7,statistical,14
20771,CHRYSANTHEMUM JOURNAL,lstm,deep_learning,14
20772,GARDEN PATH JOURNAL,lstm,deep_learning,14
20773,BLUE PAISLEY NOTEBOOK,moving_average_7,statistical,14
20774,GREEN FERN NOTEBOOK,moving_average_7,statistical,14
20775,DAISY NOTEBOOK,gru,deep_learning,14
20776,ABSTRACT CIRCLES NOTEBOOK,moving_average_7,statistical,14
20777,CHRYSANTHEMUM NOTEBOOK,gru,deep_learning,14
20778,UNKNOWN,moving_average_7,statistical,14
20780,BLACK EAR MUFF HEADPHONES,seasonal_naive_lag_7,statistical,14
20781,GOLD EAR MUFF HEADPHONES,weekday_seasonal_mean,statistical,14
20782,CAMOUFLAGE EAR MUFF HEADPHONES,weekday_seasonal_mean,statistical,14
20783,HEART EAR MUFF HEADPHONES,moving_average_7,statistical,14
20784,RED RETRO BAR STOOL,moving_average_7,statistical,14
20785,FUSCHIA RETRO BAR STOOL,moving_average_7,statistical,14
20786,BLACK RETRO BAR STOOL,moving_average_7,statistical,14
20794,BLUE TILE HOOK,lstm,deep_learning,14
20798,UNKNOWN,moving_average_7,statistical,14
20801,UNKNOWN,moving_average_7,statistical,14
20802,SMALL GLASS SUNDAE DISH CLEAR,lstm,deep_learning,14
20803,SMALL PINK GLASS SUNDAE DISH,moving_average_7,statistical,14
20804,GLASS CHICKEN BUTTER DISH,moving_average_7,statistical,14
20819,SILVER TEDDY BEAR,naive_lag_1,statistical,14
20828,GLITTER BUTTERFLY CLIPS,weekday_seasonal_mean,statistical,14
20829,GLITTER HANGING BUTTERFLY STRING,moving_average_7,statistical,14
20830,SILVER PHOTO FRAME,moving_average_7,statistical,14
20831,GOLD PHOTO FRAME,lstm,deep_learning,14
20832,RED FLOCK LOVE HEART PHOTO FRAME,lstm,deep_learning,14
20838,FRENCH LATTICE CUSHION COVER,lstm,deep_learning,14
20839,FRENCH PAISLEY CUSHION COVER,weekday_seasonal_mean,statistical,14
20840,FRENCH FLORAL CUSHION COVER,lstm,deep_learning,14
20846,ZINC HEART LATTICE T-LIGHT HOLDER,lstm,deep_learning,14
20854,BLUE PATCH PURSE PINK HEART,moving_average_7,statistical,14
20855,PINK PATCH PURSE BLUE HEART,moving_average_7,statistical,14
20856,DENIM PATCH PURSE PINK BUTTERFLY,moving_average_7,statistical,14
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,moving_average_7,statistical,14
20862,PINK PATCH PENCIL CASE BLUE HEART,moving_average_7,statistical,14
20863,BLUE PATCH PENCIL CASE PINK HEART,moving_average_7,statistical,14
20865,PATCHWORK PENCIL CASE BUTTERFLY,moving_average_7,statistical,14
20866,BLUE ROSE FABRIC MIRROR,lstm,deep_learning,14
20867,PINK ROSE FABRIC MIRROR,lstm,deep_learning,14
20868,SILVER FABRIC MIRROR,lstm,deep_learning,14
20869,GOLD FABRIC MIRROR,lstm,deep_learning,14
20871,OPULENT VELVET SET/3 CANDLES,moving_average_7,statistical,14
20878,UNKNOWN,moving_average_7,statistical,14
20886,BOX OF 9 PEBBLE CANDLES,naive_lag_1,statistical,14
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,moving_average_7,statistical,14
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,naive_lag_1,statistical,14
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,lstm,deep_learning,14
20897,VINTAGE NOTEBOOK PARIS DAYS,moving_average_7,statistical,14
20898,VINTAGE NOTEBOOK TRAVELOGUE,moving_average_7,statistical,14
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,naive_lag_1,statistical,14
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,moving_average_7,statistical,14
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,moving_average_7,statistical,14
20906,VINTAGE NOTEBOOK BEAUTY GIRL,moving_average_7,statistical,14
20910,VINTAGE PHOTO ALBUM PARIS DAYS,moving_average_7,statistical,14
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,weekday_seasonal_mean,statistical,14
20931,BLUE POT PLANT CANDLE,weekday_seasonal_mean,statistical,14
20932,PINK POT PLANT CANDLE,lstm,deep_learning,14
20933,YELLOW POT PLANT CANDLE,moving_average_7,statistical,14
20934,SET/3 POT PLANT CANDLES,moving_average_7,statistical,14
20935,ROUND CACTUS CANDLE,naive_lag_1,statistical,14
20936,FORKED CACTUS CANDLE,lstm,deep_learning,14
20941,FROG CANDLE,moving_average_7,statistical,14
20943,SET/6 GINGERBREAD STAR T-LIGHTS,moving_average_7,statistical,14
20950,UNKNOWN,moving_average_7,statistical,14
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,weekday_seasonal_mean,statistical,14
20960,WATERMELON BATH SPONGE,moving_average_7,statistical,14
20961,STRAWBERRY BATH SPONGE,seasonal_naive_lag_7,statistical,14
20963,APPLE BATH SPONGE,weekday_seasonal_mean,statistical,14
20966,SANDWICH BATH SPONGE,moving_average_7,statistical,14
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,moving_average_7,statistical,14
20969,RED FLORAL FELTCRAFT SHOULDER BAG,weekday_seasonal_mean,statistical,14
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,weekday_seasonal_mean,statistical,14
20971,PINK BLUE FELT CRAFT TRINKET BOX,weekday_seasonal_mean,statistical,14
20972,PINK CREAM FELT CRAFT TRINKET BOX,lightgbm,machine_learning,14
20973,12 PENCIL SMALL TUBE WOODLAND,seasonal_naive_lag_7,statistical,14
20974,12 PENCILS SMALL TUBE SKULL,lstm,deep_learning,14
20975,12 PENCILS SMALL TUBE RED RETROSPOT,xgboost,machine_learning,14
20976,UNKNOWN,moving_average_7,statistical,14
20977,36 PENCILS TUBE WOODLAND,naive_lag_1,statistical,14
20978,36 PENCILS TUBE SKULLS,lightgbm,machine_learning,14
20979,36 PENCILS TUBE RED RETROSPOT,lightgbm,machine_learning,14
20980,36 PENCILS TUBE POSY,moving_average_7,statistical,14
20981,12 PENCILS TALL TUBE WOODLAND,xgboost,machine_learning,14
20982,12 PENCILS TALL TUBE SKULLS,xgboost,machine_learning,14
20983,12 PENCILS TALL TUBE RED RETROSPOT,xgboost,machine_learning,14
20984,12 PENCILS TALL TUBE POSY,moving_average_7,statistical,14
20985,HEART CALCULATOR,gru,deep_learning,14
20986,BLUE CALCULATOR RULER,weekday_seasonal_mean,statistical,14
20989,UNKNOWN,moving_average_7,statistical,14
20990,SPRING FLOWER CHOPSTICKS SET/5,moving_average_7,statistical,14
20992,JAZZ HEARTS PURSE NOTEBOOK,xgboost,machine_learning,14
20996,JAZZ HEARTS ADDRESS BOOK,seasonal_naive_lag_7,statistical,14
20997,ROSE DU SUD CUSHION COVER,weekday_seasonal_mean,statistical,14
20998,ROSE DU SUD OVEN GLOVE,moving_average_7,statistical,14
21000,ROSE DU SUD COSMETICS BAG,lstm,deep_learning,14
21001,ROSE DU SUD WASHBAG,naive_lag_1,statistical,14
21002,ROSE DU SUD DRAWSTRING BAG,moving_average_7,statistical,14
21003,ROSE DU SUD CUSHION COVER,seasonal_naive_lag_7,statistical,14
21004,ROSE DU SUD CHILDRENS APRON,moving_average_7,statistical,14
21007,UNKNOWN,moving_average_7,statistical,14
21009,UNKNOWN,moving_average_7,statistical,14
21010,UNKNOWN,moving_average_7,statistical,14
21011,GLITTER SNOW PEAR TREE DECORATION,moving_average_7,statistical,14
21012,ANTIQUE ALL GLASS CANDLESTICK,lstm,deep_learning,14
21014,SWISS CHALET TREE DECORATION,weekday_seasonal_mean,statistical,14
21015,DARK BIRD HOUSE TREE DECORATION,xgboost,machine_learning,14
21016,LIGHT BIRD HOUSE TREE DECORATION,moving_average_7,statistical,14
21017,RED BIRD HOUSE TREE DECORATION,moving_average_7,statistical,14
21018,BIRD BOX CHRISTMAS TREE DECORATION,moving_average_7,statistical,14
21025,SPACE FROG,weekday_seasonal_mean,statistical,14
21026,SPACE OWL,weekday_seasonal_mean,statistical,14
21027,NINJA RABBIT PINK,seasonal_naive_lag_7,statistical,14
21028,NINJA RABBIT BLACK,seasonal_naive_lag_7,statistical,14
21030,SPACE CADET RED,weekday_seasonal_mean,statistical,14
21031,SPACE CADET BLACK,lstm,deep_learning,14
21032,SPACE CADET WHITE,naive_lag_1,statistical,14
21033,JUMBO BAG CHARLIE AND LOLA TOYS,moving_average_7,statistical,14
21034,REX CASH+CARRY JUMBO SHOPPER,lightgbm,machine_learning,14
21035,SET/2 RED RETROSPOT TEA TOWELS,lstm,deep_learning,14
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,moving_average_7,statistical,14
21039,RED RETROSPOT SHOPPING BAG,lstm,deep_learning,14
21040,MODERN VINTAGE COTTON SHOPPING BAG,moving_average_7,statistical,14
21041,RED RETROSPOT OVEN GLOVE DOUBLE,seasonal_naive_lag_7,statistical,14
21042,RED RETROSPOT APRON,seasonal_naive_lag_7,statistical,14
21043,APRON MODERN VINTAGE COTTON,moving_average_7,statistical,14
21051,RIBBONS PURSE,lstm,deep_learning,14
21054,UNKNOWN,lstm,deep_learning,14
21055,TOOL BOX SOFT TOY,weekday_seasonal_mean,statistical,14
21056,DOCTOR'S BAG SOFT TOY,gru,deep_learning,14
21058,PARTY INVITES WOODLAND,lstm,deep_learning,14
21059,PARTY INVITES DINOSAURS,lstm,deep_learning,14
21060,PARTY INVITES BALLOON GIRL,lstm,deep_learning,14
21061,PARTY INVITES FOOTBALL,lstm,deep_learning,14
21062,PARTY INVITES SPACEMAN,lstm,deep_learning,14
21063,PARTY INVITES JAZZ HEARTS,lstm,deep_learning,14
21064,BOOM BOX SPEAKER BOYS,lightgbm,machine_learning,14
21065,BOOM BOX SPEAKER GIRLS,weekday_seasonal_mean,statistical,14
21066,VINTAGE RED MUG,naive_lag_1,statistical,14
21067,UNKNOWN,moving_average_7,statistical,14
21068,VINTAGE BILLBOARD LOVE/HATE MUG,lstm,deep_learning,14
21069,VINTAGE BILLBOARD TEA MUG,moving_average_7,statistical,14
21070,VINTAGE BILLBOARD MUG,lstm,deep_learning,14
21071,UNKNOWN,moving_average_7,statistical,14
21076,SET/20 COLLAGE PAPER NAPKIN,moving_average_7,statistical,14
21077,SET/20 WOODLAND PAPER NAPKINS,moving_average_7,statistical,14
21078,SET/20 STRAWBERRY PAPER NAPKINS,moving_average_7,statistical,14
21080,SET/20 RED RETROSPOT PAPER NAPKINS,lightgbm,machine_learning,14
21082,SET/20 FRUIT SALAD PAPER NAPKINS,moving_average_7,statistical,14
21084,SET/6 COLLAGE PAPER CUPS,moving_average_7,statistical,14
21085,SET/6 WOODLAND PAPER CUPS,moving_average_7,statistical,14
21086,SET/6 RED SPOTTY PAPER CUPS,lstm,deep_learning,14
21087,SET/6 POSIES PAPER CUPS,moving_average_7,statistical,14
21088,SET/6 FRUIT SALAD PAPER CUPS,lstm,deep_learning,14
21089,SET/6 GREEN SPRING PAPER CUPS,moving_average_7,statistical,14
21090,SET/6 COLLAGE PAPER PLATES,lstm,deep_learning,14
21091,SET/6 WOODLAND PAPER PLATES,moving_average_7,statistical,14
21094,SET/6 RED SPOTTY PAPER PLATES,lstm,deep_learning,14
21095,UNKNOWN,moving_average_7,statistical,14
21096,SET/6 FRUIT SALAD PAPER PLATES,lstm,deep_learning,14
21098,CHRISTMAS TOILET ROLL,lightgbm,machine_learning,14
21099,SET/6 STRAWBERRY PAPER CUPS,moving_average_7,statistical,14
21100,CHARLIE AND LOLA CHARLOTTE BAG,moving_average_7,statistical,14
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT,lstm,deep_learning,14
21107,CREAM SLICE FLANNEL PINK SPOT,lstm,deep_learning,14
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,weekday_seasonal_mean,statistical,14
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,seasonal_naive_lag_7,statistical,14
21110,LARGE CAKE TOWEL PINK SPOTS,moving_average_7,statistical,14
21111,"SWISS ROLL TOWEL, CHOCOLATE SPOTS",seasonal_naive_lag_7,statistical,14
21112,SWISS ROLL TOWEL PINK SPOTS,gru,deep_learning,14
21114,LAVENDER SCENTED FABRIC HEART,lstm,deep_learning,14
21115,ROSE CARAVAN DOORSTOP,weekday_seasonal_mean,statistical,14
21116,OWL DOORSTOP,weekday_seasonal_mean,statistical,14
21121,SET/10 RED POLKADOT PARTY CANDLES,xgboost,machine_learning,14
21122,SET/10 PINK POLKADOT PARTY CANDLES,lstm,deep_learning,14
21123,SET/10 IVORY POLKADOT PARTY CANDLES,lstm,deep_learning,14
21124,SET/10 BLUE POLKADOT PARTY CANDLES,lstm,deep_learning,14
21125,SET 6 FOOTBALL CELEBRATION CANDLES,gru,deep_learning,14
21126,SET OF 6 GIRLS CELEBRATION CANDLES,moving_average_7,statistical,14
21127,COLOURFUL FISHING GNOME,moving_average_7,statistical,14
21128,GOLD FISHING GNOME,weekday_seasonal_mean,statistical,14
21129,SILVER FISHING GNOME,naive_lag_1,statistical,14
21130,COLOURFUL STANDING GNOME,moving_average_7,statistical,14
21131,GOLD STANDING GNOME,lstm,deep_learning,14
21132,SILVER STANDING GNOME,weekday_seasonal_mean,statistical,14
21134,UNKNOWN,moving_average_7,statistical,14
21135,VICTORIAN METAL POSTCARD SPRING,lstm,deep_learning,14
21136,PAINTED METAL PEARS ASSORTED,weekday_seasonal_mean,statistical,14
21137,BLACK RECORD COVER FRAME,lstm,deep_learning,14
21143,ANTIQUE GLASS HEART DECORATION,moving_average_7,statistical,14
21144,PINK POODLE HANGING DECORATION,moving_average_7,statistical,14
21145,UNKNOWN,lstm,deep_learning,14
21146,ANTIQUE GLASS RIDGED HANGING BALL,moving_average_7,statistical,14
21147,JINGLE BELLS TREE DECORATION,weekday_seasonal_mean,statistical,14
21153,RED SPOTTY TABLECLOTH,moving_average_7,statistical,14
21154,RED RETROSPOT OVEN GLOVE,weekday_seasonal_mean,statistical,14
21155,RED RETROSPOT PEG BAG,weekday_seasonal_mean,statistical,14
21156,RETROSPOT CHILDRENS APRON,lightgbm,machine_learning,14
21157,RED RETROSPOT WASHBAG,moving_average_7,statistical,14
21158,MOODY GIRL DOOR HANGER,weekday_seasonal_mean,statistical,14
21159,MOODY BOY DOOR HANGER,weekday_seasonal_mean,statistical,14
21160,KEEP OUT GIRLS DOOR HANGER,moving_average_7,statistical,14
21161,KEEP OUT BOYS DOOR HANGER,moving_average_7,statistical,14
21162,TOXIC AREA DOOR HANGER,weekday_seasonal_mean,statistical,14
21163,DO NOT TOUCH MY STUFF DOOR HANGER,moving_average_7,statistical,14
21164,HOME SWEET HOME METAL SIGN,seasonal_naive_lag_7,statistical,14
21165,BEWARE OF THE CAT METAL SIGN,gru,deep_learning,14
21166,COOK WITH WINE METAL SIGN,lstm,deep_learning,14
21167,WHITE SAGE INCENSE,lstm,deep_learning,14
21169,YOU'RE CONFUSING ME METAL SIGN,weekday_seasonal_mean,statistical,14
21171,BATHROOM METAL SIGN,moving_average_7,statistical,14
21172,PARTY METAL SIGN,weekday_seasonal_mean,statistical,14
21173,UNKNOWN,moving_average_7,statistical,14
21174,POTTERING IN THE SHED METAL SIGN,lstm,deep_learning,14
